TradingPeriod,IsProxyPriceFlag,Year,Month,Day,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Anomaly
8,0.0,2022.0,11.0,1.0,28.83714286,26.76,0.8660254,0.5,-0.85747499,0.51452564,0
9,0.0,2022.0,11.0,1.0,28.83714286,26.76,0.92387953,0.38268343,-0.85729041,0.51483312,0
10,0.0,2022.0,11.0,1.0,20.14428571,11.49,0.96592583,0.25881905,-0.85710573,0.51514054,0
11,0.0,2022.0,11.0,1.0,11.16166667,11.175,0.99144486,0.13052619,-0.85692093,0.51544789,0
12,0.0,2022.0,11.0,1.0,9.83666667,10.715,1.0,0.0,-0.85673602,0.51575517,0
13,0.0,2022.0,11.0,1.0,3.38428571,1.02,0.99144486,-0.13052619,-0.856551,0.51606239,0
14,0.0,2022.0,11.0,1.0,0.99666667,1.0,0.96592583,-0.25881905,-0.85636587,0.51636954,0
15,0.0,2022.0,11.0,1.0,0.02571429,0.03,0.92387953,-0.38268343,-0.85618063,0.51667663,0
16,0.0,2022.0,11.0,1.0,0.02833333,0.03,0.8660254,-0.5,-0.85599527,0.51698365,0
17,0.0,2022.0,11.0,1.0,0.03,0.03,0.79335334,-0.60876143,-0.85580981,0.5172906,0
18,0.0,2022.0,11.0,1.0,0.49333333,0.49,0.70710678,-0.70710678,-0.85562424,0.51759748,0
19,0.0,2022.0,11.0,1.0,6.495,7.96,0.60876143,-0.79335334,-0.85543856,0.5179043,0
20,0.0,2022.0,11.0,1.0,6.08166667,7.365,0.5,-0.8660254,-0.85525277,0.51821105,0
21,0.0,2022.0,11.0,1.0,30.71428571,10.69,0.38268343,-0.92387953,-0.85506687,0.51851774,0
22,0.0,2022.0,11.0,1.0,20.96857143,10.25,0.25881905,-0.96592583,-0.85488086,0.51882436,0
23,0.0,2022.0,11.0,1.0,27.19,9.92,0.13052619,-0.99144486,-0.85469474,0.51913091,0
24,0.0,2022.0,11.0,1.0,9.78,9.8,0.0,-1.0,-0.85450851,0.51943739,0
25,0.0,2022.0,11.0,1.0,9.58285714,9.59,-0.13052619,-0.99144486,-0.85432217,0.51974381,0
26,0.0,2022.0,11.0,1.0,9.25,9.19,-0.25881905,-0.96592583,-0.85413572,0.52005016,0
27,0.0,2022.0,11.0,1.0,2.89285714,0.46,-0.38268343,-0.92387953,-0.85394916,0.52035645,0
28,0.0,2022.0,11.0,1.0,8.02857143,9.27,-0.5,-0.8660254,-0.85376249,0.52066267,0
29,0.0,2022.0,11.0,1.0,9.42428571,9.37,-0.60876143,-0.79335334,-0.85357571,0.52096882,0
30,0.0,2022.0,11.0,1.0,22.85571429,9.67,-0.70710678,-0.70710678,-0.85338882,0.5212749,0
31,0.0,2022.0,11.0,1.0,9.43666667,9.485,-0.79335334,-0.60876143,-0.85320182,0.52158092,0
32,0.0,2022.0,11.0,1.0,9.39285714,9.39,-0.8660254,-0.5,-0.85301471,0.52188687,0
33,0.0,2022.0,11.0,1.0,1.70428571,0.47,-0.92387953,-0.38268343,-0.85282749,0.52219275,0
34,0.0,2022.0,11.0,1.0,0.45857143,0.46,-0.96592583,-0.25881905,-0.85264016,0.52249856,0
35,0.0,2022.0,11.0,1.0,2.16571429,0.5,-0.99144486,-0.13052619,-0.85245273,0.52280431,0
36,0.0,2022.0,11.0,1.0,6.21571429,7.92,-1.0,-0.0,-0.85226518,0.52310999,0
37,0.0,2022.0,11.0,1.0,2.26142857,0.49,-0.99144486,0.13052619,-0.85207752,0.52341561,0
38,0.0,2022.0,11.0,1.0,9.17,9.17,-0.96592583,0.25881905,-0.85188975,0.52372115,0
39,0.0,2022.0,11.0,1.0,8.90285714,9.32,-0.92387953,0.38268343,-0.85170188,0.52402663,0
40,0.0,2022.0,11.0,1.0,3.93142857,0.46,-0.8660254,0.5,-0.85151389,0.52433204,0
41,0.0,2022.0,11.0,1.0,3.91571429,0.45,-0.79335334,0.60876143,-0.8513258,0.52463739,0
42,0.0,2022.0,11.0,1.0,7.77142857,9.13,-0.70710678,0.70710678,-0.85113759,0.52494266,0
43,0.0,2022.0,11.0,1.0,1.37142857,0.44,-0.60876143,0.79335334,-0.85094928,0.52524787,0
44,0.0,2022.0,11.0,1.0,9.08142857,9.56,-0.5,0.8660254,-0.85076085,0.52555302,0
45,0.0,2022.0,11.0,1.0,8.51428571,9.55,-0.38268343,0.92387953,-0.85057232,0.52585809,0
46,0.0,2022.0,11.0,1.0,1.72428571,0.46,-0.25881905,0.96592583,-0.85038368,0.5261631,0
47,0.0,2022.0,11.0,1.0,0.02,0.02,-0.13052619,0.99144486,-0.85019492,0.52646803,0
48,0.0,2022.0,11.0,1.0,0.01833333,0.02,-0.0,1.0,-0.85000606,0.52677291,0
1,0.0,2022.0,11.0,2.0,0.01142857,0.01,0.13052619,0.99144486,-0.84981709,0.52707771,0
2,0.0,2022.0,11.0,2.0,1.05571429,0.45,0.25881905,0.96592583,-0.84962801,0.52738244,0
3,0.0,2022.0,11.0,2.0,2.25,0.45,0.38268343,0.92387953,-0.84943882,0.52768711,0
4,0.0,2022.0,11.0,2.0,0.45166667,0.455,0.5,0.8660254,-0.84924952,0.52799171,0
5,0.0,2022.0,11.0,2.0,1.01833333,0.25,0.60876143,0.79335334,-0.84906012,0.52829624,0
6,0.0,2022.0,11.0,2.0,1.01333333,0.25,0.70710678,0.70710678,-0.8488706,0.52860071,0
7,0.0,2022.0,11.0,2.0,6.34666667,2.865,0.79335334,0.60876143,-0.84868097,0.5289051,0
8,0.0,2022.0,11.0,2.0,7.23833333,10.115,0.8660254,0.5,-0.84849124,0.52920943,0
9,0.0,2022.0,11.0,2.0,0.026,0.03,0.92387953,0.38268343,-0.84830139,0.52951369,0
10,0.0,2022.0,11.0,2.0,0.01285714,0.01,0.96592583,0.25881905,-0.84811144,0.52981788,0
11,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,0.13052619,-0.84792138,0.53012201,0
12,0.0,2022.0,11.0,2.0,0.01,0.01,1.0,0.0,-0.8477312,0.53042606,0
13,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,-0.13052619,-0.84754092,0.53073005,0
14,0.0,2022.0,11.0,2.0,0.01285714,0.01,0.96592583,-0.25881905,-0.84735053,0.53103397,0
15,0.0,2022.0,11.0,2.0,0.01,0.01,0.92387953,-0.38268343,-0.84716003,0.53133782,0
16,0.0,2022.0,11.0,2.0,0.01,0.01,0.8660254,-0.5,-0.84696943,0.5316416,0
17,0.0,2022.0,11.0,2.0,0.01,0.01,0.79335334,-0.60876143,-0.84677871,0.53194531,0
18,0.0,2022.0,11.0,2.0,0.01,0.01,0.70710678,-0.70710678,-0.84658788,0.53224896,0
19,0.0,2022.0,11.0,2.0,0.01,0.01,0.60876143,-0.79335334,-0.84639695,0.53255254,0
20,0.0,2022.0,11.0,2.0,0.01,0.01,0.5,-0.8660254,-0.84620591,0.53285604,0
21,0.0,2022.0,11.0,2.0,0.02,0.02,0.38268343,-0.92387953,-0.84601475,0.53315948,0
22,0.0,2022.0,11.0,2.0,0.02714286,0.03,0.25881905,-0.96592583,-0.84582349,0.53346286,0
23,0.0,2022.0,11.0,2.0,0.03,0.03,0.13052619,-0.99144486,-0.84563212,0.53376616,0
24,0.0,2022.0,11.0,2.0,0.03,0.03,0.0,-1.0,-0.84544064,0.53406939,0
25,0.0,2022.0,11.0,2.0,0.03,0.03,-0.13052619,-0.99144486,-0.84524906,0.53437256,0
26,0.0,2022.0,11.0,2.0,0.03,0.03,-0.25881905,-0.96592583,-0.84505736,0.53467565,0
