TradingPeriod,IsProxyPriceFlag,Year,Month,Day,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Anomaly
1,0.0,2022.0,11.0,1.0,27.12428571,25.19,0.13052619,0.99144486,-0.85876396,0.51237141,0
2,0.0,2022.0,11.0,1.0,27.12428571,25.19,0.25881905,0.96592583,-0.85858015,0.51267936,0
3,0.0,2022.0,11.0,1.0,18.92714286,10.82,0.38268343,0.92387953,-0.85839623,0.51298724,0
4,0.0,2022.0,11.0,1.0,10.48666667,10.5,0.5,0.8660254,-0.85821221,0.51329505,0
5,0.0,2022.0,11.0,1.0,9.24333333,10.07,0.60876143,0.79335334,-0.85802807,0.5136028,0
6,0.0,2022.0,11.0,1.0,3.18142857,0.96,0.70710678,0.70710678,-0.85784382,0.51391048,0
7,0.0,2022.0,11.0,1.0,0.93666667,0.94,0.79335334,0.60876143,-0.85765946,0.51421809,0
8,0.0,2022.0,11.0,1.0,0.02571429,0.03,0.8660254,0.5,-0.85747499,0.51452564,0
9,0.0,2022.0,11.0,1.0,0.02833333,0.03,0.92387953,0.38268343,-0.85729041,0.51483312,0
10,0.0,2022.0,11.0,1.0,0.03,0.03,0.96592583,0.25881905,-0.85710573,0.51514054,0
11,0.0,2022.0,11.0,1.0,0.46,0.455,0.99144486,0.13052619,-0.85692093,0.51544789,0
12,0.0,2022.0,11.0,1.0,6.04833333,7.395,1.0,0.0,-0.85673602,0.51575517,0
13,0.0,2022.0,11.0,1.0,5.61,6.79,0.99144486,-0.13052619,-0.856551,0.51606239,0
14,0.0,2022.0,11.0,1.0,28.17142857,9.84,0.96592583,-0.25881905,-0.85636587,0.51636954,0
15,0.0,2022.0,11.0,1.0,19.13,9.35,0.92387953,-0.38268343,-0.85618063,0.51667663,0
16,0.0,2022.0,11.0,1.0,24.55,8.94,0.8660254,-0.5,-0.85599527,0.51698365,0
17,0.0,2022.0,11.0,1.0,8.64571429,8.66,0.79335334,-0.60876143,-0.85580981,0.5172906,0
