TradingPeriod,IsProxyPriceFlag,Year,Month,Day,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Anomaly
8,0.0,2022.0,11.0,1.0,29.25,27.14,0.8660254,0.5,-0.85747499,0.51452564,0
9,0.0,2022.0,11.0,1.0,29.25,27.14,0.92387953,0.38268343,-0.85729041,0.51483312,0
10,0.0,2022.0,11.0,1.0,20.43428571,11.66,0.96592583,0.25881905,-0.85710573,0.51514054,0
11,0.0,2022.0,11.0,1.0,11.32166667,11.335,0.99144486,0.13052619,-0.85692093,0.51544789,0
12,0.0,2022.0,11.0,1.0,9.975,10.865,1.0,0.0,-0.85673602,0.51575517,0
13,0.0,2022.0,11.0,1.0,3.43285714,1.04,0.99144486,-0.13052619,-0.856551,0.51606239,0
14,0.0,2022.0,11.0,1.0,1.015,1.02,0.96592583,-0.25881905,-0.85636587,0.51636954,0
15,0.0,2022.0,11.0,1.0,0.02571429,0.03,0.92387953,-0.38268343,-0.85618063,0.51667663,0
16,0.0,2022.0,11.0,1.0,0.02833333,0.03,0.8660254,-0.5,-0.85599527,0.51698365,0
17,0.0,2022.0,11.0,1.0,0.03,0.03,0.79335334,-0.60876143,-0.85580981,0.5172906,0
18,0.0,2022.0,11.0,1.0,0.50166667,0.495,0.70710678,-0.70710678,-0.85562424,0.51759748,0
19,0.0,2022.0,11.0,1.0,6.62,8.13,0.60876143,-0.79335334,-0.85543856,0.5179043,0
20,0.0,2022.0,11.0,1.0,6.24,7.61,0.5,-0.8660254,-0.85525277,0.51821105,0
21,0.0,2022.0,11.0,1.0,31.83428571,11.09,0.38268343,-0.92387953,-0.85506687,0.51851774,0
22,0.0,2022.0,11.0,1.0,21.73428571,10.63,0.25881905,-0.96592583,-0.85488086,0.51882436,0
23,0.0,2022.0,11.0,1.0,28.59285714,10.26,0.13052619,-0.99144486,-0.85469474,0.51913091,0
24,0.0,2022.0,11.0,1.0,10.31428571,10.33,0.0,-1.0,-0.85450851,0.51943739,0
25,0.0,2022.0,11.0,1.0,10.11285714,10.13,-0.13052619,-0.99144486,-0.85432217,0.51974381,0
26,0.0,2022.0,11.0,1.0,9.75571429,9.69,-0.25881905,-0.96592583,-0.85413572,0.52005016,0
27,0.0,2022.0,11.0,1.0,3.05,0.48,-0.38268343,-0.92387953,-0.85394916,0.52035645,0
28,0.0,2022.0,11.0,1.0,8.46571429,9.78,-0.5,-0.8660254,-0.85376249,0.52066267,0
29,0.0,2022.0,11.0,1.0,9.87142857,9.79,-0.60876143,-0.79335334,-0.85357571,0.52096882,0
30,0.0,2022.0,11.0,1.0,23.63857143,10.01,-0.70710678,-0.70710678,-0.85338882,0.5212749,0
31,0.0,2022.0,11.0,1.0,9.76833333,9.815,-0.79335334,-0.60876143,-0.85320182,0.52158092,0
32,0.0,2022.0,11.0,1.0,9.72142857,9.72,-0.8660254,-0.5,-0.85301471,0.52188687,0
33,0.0,2022.0,11.0,1.0,1.77714286,0.5,-0.92387953,-0.38268343,-0.85282749,0.52219275,0
34,0.0,2022.0,11.0,1.0,0.48571429,0.48,-0.96592583,-0.25881905,-0.85264016,0.52249856,0
35,0.0,2022.0,11.0,1.0,2.28714286,0.52,-0.99144486,-0.13052619,-0.85245273,0.52280431,0
36,0.0,2022.0,11.0,1.0,6.48428571,8.34,-1.0,-0.0,-0.85226518,0.52310999,0
37,0.0,2022.0,11.0,1.0,2.39,0.52,-0.99144486,0.13052619,-0.85207752,0.52341561,0
38,0.0,2022.0,11.0,1.0,9.52285714,9.49,-0.96592583,0.25881905,-0.85188975,0.52372115,0
39,0.0,2022.0,11.0,1.0,9.24142857,9.64,-0.92387953,0.38268343,-0.85170188,0.52402663,0
40,0.0,2022.0,11.0,1.0,4.12571429,0.49,-0.8660254,0.5,-0.85151389,0.52433204,0
41,0.0,2022.0,11.0,1.0,4.12857143,0.47,-0.79335334,0.60876143,-0.8513258,0.52463739,0
42,0.0,2022.0,11.0,1.0,8.10428571,9.49,-0.70710678,0.70710678,-0.85113759,0.52494266,0
43,0.0,2022.0,11.0,1.0,1.44714286,0.46,-0.60876143,0.79335334,-0.85094928,0.52524787,0
44,0.0,2022.0,11.0,1.0,9.43571429,9.94,-0.5,0.8660254,-0.85076085,0.52555302,0
45,0.0,2022.0,11.0,1.0,8.86285714,9.88,-0.38268343,0.92387953,-0.85057232,0.52585809,0
46,0.0,2022.0,11.0,1.0,1.81714286,0.48,-0.25881905,0.96592583,-0.85038368,0.5261631,0
47,0.0,2022.0,11.0,1.0,0.02,0.02,-0.13052619,0.99144486,-0.85019492,0.52646803,0
48,0.0,2022.0,11.0,1.0,0.01833333,0.02,-0.0,1.0,-0.85000606,0.52677291,0
1,0.0,2022.0,11.0,2.0,0.01142857,0.01,0.13052619,0.99144486,-0.84981709,0.52707771,0
2,0.0,2022.0,11.0,2.0,1.11142857,0.47,0.25881905,0.96592583,-0.84962801,0.52738244,0
3,0.0,2022.0,11.0,2.0,2.35,0.47,0.38268343,0.92387953,-0.84943882,0.52768711,0
4,0.0,2022.0,11.0,2.0,0.47,0.475,0.5,0.8660254,-0.84924952,0.52799171,0
5,0.0,2022.0,11.0,2.0,1.055,0.255,0.60876143,0.79335334,-0.84906012,0.52829624,0
6,0.0,2022.0,11.0,2.0,1.05333333,0.26,0.70710678,0.70710678,-0.8488706,0.52860071,0
7,0.0,2022.0,11.0,2.0,6.485,2.945,0.79335334,0.60876143,-0.84868097,0.5289051,0
8,0.0,2022.0,11.0,2.0,7.38333333,10.305,0.8660254,0.5,-0.84849124,0.52920943,0
9,0.0,2022.0,11.0,2.0,0.026,0.03,0.92387953,0.38268343,-0.84830139,0.52951369,0
10,0.0,2022.0,11.0,2.0,0.01285714,0.01,0.96592583,0.25881905,-0.84811144,0.52981788,0
11,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,0.13052619,-0.84792138,0.53012201,0
12,0.0,2022.0,11.0,2.0,0.01,0.01,1.0,0.0,-0.8477312,0.53042606,0
13,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,-0.13052619,-0.84754092,0.53073005,0
14,0.0,2022.0,11.0,2.0,0.01285714,0.01,0.96592583,-0.25881905,-0.84735053,0.53103397,0
15,0.0,2022.0,11.0,2.0,0.01,0.01,0.92387953,-0.38268343,-0.84716003,0.53133782,0
16,0.0,2022.0,11.0,2.0,0.01,0.01,0.8660254,-0.5,-0.84696943,0.5316416,0
17,0.0,2022.0,11.0,2.0,0.01,0.01,0.79335334,-0.60876143,-0.84677871,0.53194531,0
18,0.0,2022.0,11.0,2.0,0.01,0.01,0.70710678,-0.70710678,-0.84658788,0.53224896,0
19,0.0,2022.0,11.0,2.0,0.01,0.01,0.60876143,-0.79335334,-0.84639695,0.53255254,0
20,0.0,2022.0,11.0,2.0,0.01,0.01,0.5,-0.8660254,-0.84620591,0.53285604,0
21,0.0,2022.0,11.0,2.0,0.02,0.02,0.38268343,-0.92387953,-0.84601475,0.53315948,0
22,0.0,2022.0,11.0,2.0,0.02714286,0.03,0.25881905,-0.96592583,-0.84582349,0.53346286,0
23,0.0,2022.0,11.0,2.0,0.03,0.03,0.13052619,-0.99144486,-0.84563212,0.53376616,0
24,0.0,2022.0,11.0,2.0,0.03166667,0.03,0.0,-1.0,-0.84544064,0.53406939,0
25,0.0,2022.0,11.0,2.0,0.03285714,0.03,-0.13052619,-0.99144486,-0.84524906,0.53437256,0
26,0.0,2022.0,11.0,2.0,0.03333333,0.03,-0.25881905,-0.96592583,-0.84505736,0.53467565,0
27,0.0,2022.0,11.0,2.0,0.03333333,0.03,-0.38268343,-0.92387953,-0.84486556,0.53497868,0
28,0.0,2022.0,11.0,2.0,0.03857143,0.04,-0.5,-0.8660254,-0.84467364,0.53528164,0
29,0.0,2022.0,11.0,2.0,0.03285714,0.03,-0.60876143,-0.79335334,-0.84448162,0.53558453,0
30,0.0,2022.0,11.0,2.0,0.03571429,0.04,-0.70710678,-0.70710678,-0.84428949,0.53588735,0
31,0.0,2022.0,11.0,2.0,23.42833333,9.625,-0.79335334,-0.60876143,-0.84409725,0.53619011,0
32,0.0,2022.0,11.0,2.0,9.74,9.74,-0.8660254,-0.5,-0.8439049,0.53649279,0
33,0.0,2022.0,11.0,2.0,8.61714286,9.72,-0.92387953,-0.38268343,-0.84371245,0.5367954,0
34,0.0,2022.0,11.0,2.0,9.07571429,9.94,-0.96592583,-0.25881905,-0.84351988,0.53709795,0
35,0.0,2022.0,11.0,2.0,8.90142857,10.04,-0.99144486,-0.13052619,-0.84332721,0.53740043,0
36,0.0,2022.0,11.0,2.0,10.066,10.01,-1.0,-0.0,-0.84313443,0.53770283,0
37,0.0,2022.0,11.0,2.0,9.72,10.45,-0.99144486,0.13052619,-0.84294154,0.53800517,0
38,0.0,2022.0,11.0,2.0,10.922,10.47,-0.96592583,0.25881905,-0.84274854,0.53830744,0
39,0.0,2022.0,11.0,2.0,32.21857143,42.66,-0.92387953,0.38268343,-0.84255543,0.53860964,0
40,0.0,2022.0,11.0,2.0,71.88,78.755,-0.8660254,0.5,-0.84236222,0.53891177,0
41,0.0,2022.0,11.0,2.0,43.69285714,44.87,-0.79335334,0.60876143,-0.84216889,0.53921383,0
42,0.0,2022.0,11.0,2.0,39.35428571,43.41,-0.70710678,0.70710678,-0.84197546,0.53951582,0
43,0.0,2022.0,11.0,2.0,11.20333333,10.99,-0.60876143,0.79335334,-0.84178192,0.53981775,0
44,0.0,2022.0,11.0,2.0,16.39666667,10.8,-0.5,0.8660254,-0.84158827,0.5401196,0
45,0.0,2022.0,11.0,2.0,10.64571429,10.77,-0.38268343,0.92387953,-0.84139451,0.54042138,0
46,0.0,2022.0,11.0,2.0,10.37142857,10.26,-0.25881905,0.96592583,-0.84120065,0.5407231,0
47,0.0,2022.0,11.0,2.0,8.64333333,10.2,-0.13052619,0.99144486,-0.84100668,0.54102474,0
48,0.0,2022.0,11.0,2.0,8.53142857,9.86,-0.0,1.0,-0.8408126,0.54132632,0
1,0.0,2022.0,11.0,3.0,9.7,9.71,0.13052619,0.99144486,-0.84061841,0.54162782,0
2,0.0,2022.0,11.0,3.0,18.03142857,9.96,0.25881905,0.96592583,-0.84042411,0.54192926,0
3,0.0,2022.0,11.0,3.0,9.80285714,9.81,0.38268343,0.92387953,-0.8402297,0.54223062,0
4,0.0,2022.0,11.0,3.0,5.09833333,4.97,0.5,0.8660254,-0.84003519,0.54253192,0
5,0.0,2022.0,11.0,3.0,8.435,10.04,0.60876143,0.79335334,-0.83984057,0.54283314,0
6,0.0,2022.0,11.0,3.0,9.93,9.86,0.70710678,0.70710678,-0.83964584,0.5431343,0
7,0.0,2022.0,11.0,3.0,10.17333333,10.33,0.79335334,0.60876143,-0.839451,0.54343539,0
8,0.0,2022.0,11.0,3.0,0.25666667,0.255,0.8660254,0.5,-0.83925605,0.5437364,0
9,0.0,2022.0,11.0,3.0,5.64666667,5.66,0.92387953,0.38268343,-0.839061,0.54403735,0
10,0.0,2022.0,11.0,3.0,0.02,0.02,0.96592583,0.25881905,-0.83886584,0.54433823,0
11,0.0,2022.0,11.0,3.0,0.02,0.02,0.99144486,0.13052619,-0.83867057,0.54463904,0
12,0.0,2022.0,11.0,3.0,0.01857143,0.02,1.0,0.0,-0.83847519,0.54493977,0
13,0.0,2022.0,11.0,3.0,0.01666667,0.02,0.99144486,-0.13052619,-0.83827971,0.54524044,0
14,0.0,2022.0,11.0,3.0,0.01142857,0.01,0.96592583,-0.25881905,-0.83808411,0.54554104,0
15,0.0,2022.0,11.0,3.0,0.01,0.01,0.92387953,-0.38268343,-0.83788841,0.54584156,0
16,0.0,2022.0,11.0,3.0,0.01,0.01,0.8660254,-0.5,-0.8376926,0.54614202,0
17,0.0,2022.0,11.0,3.0,0.01,0.01,0.79335334,-0.60876143,-0.83749669,0.5464424,0
18,0.0,2022.0,11.0,3.0,0.01,0.01,0.70710678,-0.70710678,-0.83730066,0.54674272,0
19,0.0,2022.0,11.0,3.0,0.01166667,0.01,0.60876143,-0.79335334,-0.83710453,0.54704296,0
20,0.0,2022.0,11.0,3.0,0.01666667,0.02,0.5,-0.8660254,-0.83690829,0.54734314,0
21,0.0,2022.0,11.0,3.0,1.75666667,0.235,0.38268343,-0.92387953,-0.83671194,0.54764324,0
22,0.0,2022.0,11.0,3.0,4.84833333,4.735,0.25881905,-0.96592583,-0.83651549,0.54794328,0
23,0.0,2022.0,11.0,3.0,9.04285714,10.21,0.13052619,-0.99144486,-0.83631893,0.54824324,0
24,0.0,2022.0,11.0,3.0,15.11428571,10.11,0.0,-1.0,-0.83612226,0.54854314,0
25,0.0,2022.0,11.0,3.0,71.45,83.89,-0.13052619,-0.99144486,-0.83592548,0.54884296,0
26,0.0,2022.0,11.0,3.0,34.60666667,10.125,-0.25881905,-0.96592583,-0.83572859,0.54914271,0
27,0.0,2022.0,11.0,3.0,38.79,11.91,-0.38268343,-0.92387953,-0.8355316,0.54944239,0
28,0.0,2022.0,11.0,3.0,9.51,9.51,-0.5,-0.8660254,-0.8353345,0.549742,0
29,0.0,2022.0,11.0,3.0,9.47666667,9.485,-0.60876143,-0.79335334,-0.83513729,0.55004154,0
30,0.0,2022.0,11.0,3.0,9.72833333,9.535,-0.70710678,-0.70710678,-0.83493998,0.55034101,0
31,0.0,2022.0,11.0,3.0,23.46166667,22.93,-0.79335334,-0.60876143,-0.83474256,0.55064041,0
32,0.0,2022.0,11.0,3.0,36.01,36.01,-0.8660254,-0.5,-0.83454503,0.55093974,0
33,0.0,2022.0,11.0,3.0,9.65,5.325,-0.92387953,-0.38268343,-0.83434739,0.551239,0
34,0.0,2022.0,11.0,3.0,46.87333333,35.4,-0.96592583,-0.25881905,-0.83414965,0.55153818,0
35,0.0,2022.0,11.0,3.0,9.08428571,9.16,-0.99144486,-0.13052619,-0.8339518,0.5518373,0
36,0.0,2022.0,11.0,3.0,9.11333333,9.01,-1.0,-0.0,-0.83375384,0.55213634,0
37,0.0,2022.0,11.0,3.0,9.04333333,9.045,-0.99144486,0.13052619,-0.83355577,0.55243531,0
38,0.0,2022.0,11.0,3.0,8.90833333,8.935,-0.96592583,0.25881905,-0.8333576,0.55273422,0
39,0.0,2022.0,11.0,3.0,8.95166667,8.965,-0.92387953,0.38268343,-0.83315932,0.55303305,0
40,0.0,2022.0,11.0,3.0,9.18,9.13,-0.8660254,0.5,-0.83296093,0.55333181,0
41,0.0,2022.0,11.0,3.0,9.25,9.25,-0.79335334,0.60876143,-0.83276244,0.55363049,0
42,0.0,2022.0,11.0,3.0,23.57666667,23.19,-0.70710678,0.70710678,-0.83256383,0.55392911,0
43,0.0,2022.0,11.0,3.0,9.475,9.475,-0.60876143,0.79335334,-0.83236513,0.55422766,0
44,0.0,2022.0,11.0,3.0,9.4875,9.45,-0.5,0.8660254,-0.83216631,0.55452613,0
45,0.0,2022.0,11.0,3.0,9.36571429,9.45,-0.38268343,0.92387953,-0.83196739,0.55482454,0
46,0.0,2022.0,11.0,3.0,7.94142857,9.33,-0.25881905,0.96592583,-0.83176836,0.55512287,0
47,0.0,2022.0,11.0,3.0,4.34857143,5.03,-0.13052619,0.99144486,-0.83156922,0.55542113,0
48,0.0,2022.0,11.0,3.0,2.68125,0.45,-0.0,1.0,-0.83136998,0.55571932,0
1,0.0,2022.0,11.0,4.0,6.19571429,5.53,0.13052619,0.99144486,-0.83117063,0.55601744,0
2,0.0,2022.0,11.0,4.0,9.11571429,9.62,0.25881905,0.96592583,-0.83097117,0.55631548,0
3,0.0,2022.0,11.0,4.0,8.77285714,9.35,0.38268343,0.92387953,-0.8307716,0.55661346,0
4,0.0,2022.0,11.0,4.0,8.52428571,9.55,0.5,0.8660254,-0.83057193,0.55691136,0
5,0.0,2022.0,11.0,4.0,2.90142857,0.47,0.60876143,0.79335334,-0.83037215,0.55720919,0
6,0.0,2022.0,11.0,4.0,3.07857143,0.48,0.70710678,0.70710678,-0.83017227,0.55750695,0
7,0.0,2022.0,11.0,4.0,10.69714286,9.65,0.79335334,0.60876143,-0.82997228,0.55780464,0
8,0.0,2022.0,11.0,4.0,2.63166667,0.48,0.8660254,0.5,-0.82977218,0.55810226,0
9,0.0,2022.0,11.0,4.0,0.81571429,0.02,0.92387953,0.38268343,-0.82957197,0.5583998,0
10,0.0,2022.0,11.0,4.0,0.01833333,0.02,0.96592583,0.25881905,-0.82937166,0.55869728,0
11,0.0,2022.0,11.0,4.0,0.01,0.01,0.99144486,0.13052619,-0.82917124,0.55899468,0
12,0.0,2022.0,11.0,4.0,0.01,0.01,1.0,0.0,-0.82897072,0.55929201,0
13,0.0,2022.0,11.0,4.0,0.01,0.01,0.99144486,-0.13052619,-0.82877009,0.55958926,0
14,0.0,2022.0,11.0,4.0,0.01,0.01,0.96592583,-0.25881905,-0.82856935,0.55988645,0
15,0.0,2022.0,11.0,4.0,0.01,0.01,0.92387953,-0.38268343,-0.8283685,0.56018356,0
16,0.0,2022.0,11.0,4.0,0.01,0.01,0.8660254,-0.5,-0.82816755,0.5604806,0
17,0.0,2022.0,11.0,4.0,0.01,0.01,0.79335334,-0.60876143,-0.82796649,0.56077757,0
18,0.0,2022.0,11.0,4.0,0.01,0.01,0.70710678,-0.70710678,-0.82776533,0.56107447,0
19,0.0,2022.0,11.0,4.0,0.01,0.01,0.60876143,-0.79335334,-0.82756406,0.56137129,0
20,0.0,2022.0,11.0,4.0,0.08666667,0.01,0.5,-0.8660254,-0.82736268,0.56166805,0
21,0.0,2022.0,11.0,4.0,5.77285714,9.64,0.38268343,-0.92387953,-0.8271612,0.56196473,0
22,0.0,2022.0,11.0,4.0,5.78571429,5.12,0.25881905,-0.96592583,-0.82695961,0.56226133,0
23,0.0,2022.0,11.0,4.0,13.02333333,9.835,0.13052619,-0.99144486,-0.82675791,0.56255787,0
24,0.0,2022.0,11.0,4.0,10.02,9.89,0.0,-1.0,-0.82655611,0.56285433,0
25,0.0,2022.0,11.0,4.0,9.51,9.52,-0.13052619,-0.99144486,-0.8263542,0.56315072,0
26,0.0,2022.0,11.0,4.0,9.16,9.16,-0.25881905,-0.96592583,-0.82615218,0.56344704,0
27,0.0,2022.0,11.0,4.0,8.71,8.74,-0.38268343,-0.92387953,-0.82595006,0.56374329,0
28,0.0,2022.0,11.0,4.0,8.325,8.65,-0.5,-0.8660254,-0.82574783,0.56403946,0
29,0.0,2022.0,11.0,4.0,7.02857143,8.58,-0.60876143,-0.79335334,-0.8255455,0.56433556,0
30,0.0,2022.0,11.0,4.0,9.01571429,9.09,-0.70710678,-0.70710678,-0.82534306,0.56463159,0
31,0.0,2022.0,11.0,4.0,8.985,9.02,-0.79335334,-0.60876143,-0.82514051,0.56492755,0
32,0.0,2022.0,11.0,4.0,8.78666667,9.055,-0.8660254,-0.5,-0.82493786,0.56522343,0
33,0.0,2022.0,11.0,4.0,8.20571429,9.13,-0.92387953,-0.38268343,-0.8247351,0.56551924,0
34,0.0,2022.0,11.0,4.0,5.77666667,6.225,-0.96592583,-0.25881905,-0.82453224,0.56581498,0
35,0.0,2022.0,11.0,4.0,9.0275,9.05,-0.99144486,-0.13052619,-0.82432927,0.56611064,0
36,0.0,2022.0,11.0,4.0,8.25,8.25,-1.0,-0.0,-0.82412619,0.56640624,0
37,0.0,2022.0,11.0,4.0,16.30333333,17.39,-0.99144486,0.13052619,-0.82392301,0.56670176,0
38,0.0,2022.0,11.0,4.0,13.25,13.25,-0.96592583,0.25881905,-0.82371972,0.5669972,0
39,0.0,2022.0,11.0,4.0,8.91,8.9,-0.92387953,0.38268343,-0.82351632,0.56729258,0
40,0.0,2022.0,11.0,4.0,8.942,8.91,-0.8660254,0.5,-0.82331282,0.56758788,0
41,0.0,2022.0,11.0,4.0,14.29142857,13.43,-0.79335334,0.60876143,-0.82310921,0.5678831,0
42,0.0,2022.0,11.0,4.0,18.195,18.225,-0.70710678,0.70710678,-0.8229055,0.56817826,0
43,0.0,2022.0,11.0,4.0,18.44,18.32,-0.60876143,0.79335334,-0.82270168,0.56847334,0
44,0.0,2022.0,11.0,4.0,9.14142857,9.55,-0.5,0.8660254,-0.82249776,0.56876835,0
45,0.0,2022.0,11.0,4.0,2.29,3.2,-0.38268343,0.92387953,-0.82229373,0.56906328,0
46,0.0,2022.0,11.0,4.0,0.02,0.02,-0.25881905,0.96592583,-0.82208959,0.56935815,0
47,0.0,2022.0,11.0,4.0,2.31428571,3.78,-0.13052619,0.99144486,-0.82188535,0.56965293,0
48,0.0,2022.0,11.0,4.0,1.11285714,0.02,-0.0,1.0,-0.82168101,0.56994765,0
1,0.0,2022.0,11.0,5.0,1.65714286,0.02,0.13052619,0.99144486,-0.82147655,0.57024229,0
2,0.0,2022.0,11.0,5.0,8.54714286,9.3,0.25881905,0.96592583,-0.82127199,0.57053686,0
3,0.0,2022.0,11.0,5.0,6.77571429,7.49,0.38268343,0.92387953,-0.82106733,0.57083136,0
4,0.0,2022.0,11.0,5.0,4.57714286,4.05,0.5,0.8660254,-0.82086256,0.57112578,0
5,0.0,2022.0,11.0,5.0,5.38666667,4.625,0.60876143,0.79335334,-0.82065769,0.57142013,0
6,0.0,2022.0,11.0,5.0,5.48142857,4.33,0.70710678,0.70710678,-0.82045271,0.5717144,0
7,0.0,2022.0,11.0,5.0,5.38833333,4.395,0.79335334,0.60876143,-0.82024762,0.5720086,0
8,0.0,2022.0,11.0,5.0,1.22142857,0.02,0.8660254,0.5,-0.82004243,0.57230273,0
9,0.0,2022.0,11.0,5.0,2.26166667,2.26,0.92387953,0.38268343,-0.81983713,0.57259679,0
10,0.0,2022.0,11.0,5.0,0.01,0.01,0.96592583,0.25881905,-0.81963173,0.57289077,0
11,0.0,2022.0,11.0,5.0,0.01,0.01,0.99144486,0.13052619,-0.81942622,0.57318467,0
12,0.0,2022.0,11.0,5.0,0.01,0.01,1.0,0.0,-0.81922061,0.57347851,0
13,0.0,2022.0,11.0,5.0,0.01,0.01,0.99144486,-0.13052619,-0.81901489,0.57377227,0
14,0.0,2022.0,11.0,5.0,0.01,0.01,0.96592583,-0.25881905,-0.81880906,0.57406595,0
15,0.0,2022.0,11.0,5.0,0.01,0.01,0.92387953,-0.38268343,-0.81860313,0.57435957,0
