TradingPeriod,IsProxyPriceFlag,Year,Month,Day,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Anomaly
8,0.0,2022.0,11.0,1.0,27.19285714,25.19,0.8660254,0.5,-0.85747499,0.51452564,0
9,0.0,2022.0,11.0,1.0,27.19285714,25.19,0.92387953,0.38268343,-0.85729041,0.51483312,0
10,0.0,2022.0,11.0,1.0,19.01428571,10.83,0.96592583,0.25881905,-0.85710573,0.51514054,0
11,0.0,2022.0,11.0,1.0,10.56666667,10.58,0.99144486,0.13052619,-0.85692093,0.51544789,0
12,0.0,2022.0,11.0,1.0,9.315,10.15,1.0,0.0,-0.85673602,0.51575517,0
13,0.0,2022.0,11.0,1.0,3.20714286,0.97,0.99144486,-0.13052619,-0.856551,0.51606239,0
14,0.0,2022.0,11.0,1.0,0.94666667,0.95,0.96592583,-0.25881905,-0.85636587,0.51636954,0
15,0.0,2022.0,11.0,1.0,0.03,0.03,0.92387953,-0.38268343,-0.85618063,0.51667663,0
16,0.0,2022.0,11.0,1.0,0.03,0.03,0.8660254,-0.5,-0.85599527,0.51698365,0
17,0.0,2022.0,11.0,1.0,0.03,0.03,0.79335334,-0.60876143,-0.85580981,0.5172906,0
18,0.0,2022.0,11.0,1.0,0.465,0.46,0.70710678,-0.70710678,-0.85562424,0.51759748,0
19,0.0,2022.0,11.0,1.0,6.12833333,7.515,0.60876143,-0.79335334,-0.85543856,0.5179043,0
20,0.0,2022.0,11.0,1.0,5.745,6.97,0.5,-0.8660254,-0.85525277,0.51821105,0
21,0.0,2022.0,11.0,1.0,29.84571429,10.39,0.38268343,-0.92387953,-0.85506687,0.51851774,0
22,0.0,2022.0,11.0,1.0,20.34857143,9.95,0.25881905,-0.96592583,-0.85488086,0.51882436,0
23,0.0,2022.0,11.0,1.0,27.92142857,9.69,0.13052619,-0.99144486,-0.85469474,0.51913091,0
24,0.0,2022.0,11.0,1.0,9.58142857,9.58,0.0,-1.0,-0.85450851,0.51943739,0
25,0.0,2022.0,11.0,1.0,9.46,9.47,-0.13052619,-0.99144486,-0.85432217,0.51974381,0
26,0.0,2022.0,11.0,1.0,9.14142857,9.07,-0.25881905,-0.96592583,-0.85413572,0.52005016,0
27,0.0,2022.0,11.0,1.0,2.89428571,0.45,-0.38268343,-0.92387953,-0.85394916,0.52035645,0
28,0.0,2022.0,11.0,1.0,8.00857143,9.24,-0.5,-0.8660254,-0.85376249,0.52066267,0
29,0.0,2022.0,11.0,1.0,9.41428571,9.42,-0.60876143,-0.79335334,-0.85357571,0.52096882,0
30,0.0,2022.0,11.0,1.0,22.76,9.63,-0.70710678,-0.70710678,-0.85338882,0.5212749,0
31,0.0,2022.0,11.0,1.0,9.41166667,9.455,-0.79335334,-0.60876143,-0.85320182,0.52158092,0
32,0.0,2022.0,11.0,1.0,9.38428571,9.42,-0.8660254,-0.5,-0.85301471,0.52188687,0
33,0.0,2022.0,11.0,1.0,1.7,0.47,-0.92387953,-0.38268343,-0.85282749,0.52219275,0
34,0.0,2022.0,11.0,1.0,0.45428571,0.45,-0.96592583,-0.25881905,-0.85264016,0.52249856,0
35,0.0,2022.0,11.0,1.0,2.10857143,0.48,-0.99144486,-0.13052619,-0.85245273,0.52280431,0
36,0.0,2022.0,11.0,1.0,6.05714286,7.71,-1.0,-0.0,-0.85226518,0.52310999,0
37,0.0,2022.0,11.0,1.0,2.2,0.48,-0.99144486,0.13052619,-0.85207752,0.52341561,0
38,0.0,2022.0,11.0,1.0,8.91,8.91,-0.96592583,0.25881905,-0.85188975,0.52372115,0
39,0.0,2022.0,11.0,1.0,8.67,9.05,-0.92387953,0.38268343,-0.85170188,0.52402663,0
40,0.0,2022.0,11.0,1.0,3.87571429,0.46,-0.8660254,0.5,-0.85151389,0.52433204,0
41,0.0,2022.0,11.0,1.0,3.83714286,0.44,-0.79335334,0.60876143,-0.8513258,0.52463739,0
42,0.0,2022.0,11.0,1.0,7.54571429,8.83,-0.70710678,0.70710678,-0.85113759,0.52494266,0
43,0.0,2022.0,11.0,1.0,1.34571429,0.44,-0.60876143,0.79335334,-0.85094928,0.52524787,0
44,0.0,2022.0,11.0,1.0,8.88571429,9.35,-0.5,0.8660254,-0.85076085,0.52555302,0
