@relation relation: PoC: ALB0331; Target: Avg$PerMWHr; Delay: 0.5hr

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute PrevAvg$PerMWHr numeric
@attribute PrevMed$PerMWHr numeric
@attribute SinPeriod numeric
@attribute CosPeriod numeric
@attribute SinDate numeric
@attribute CosDate numeric
@attribute Avg$PerMWHr numeric

@data
1.0,0.0,2022.0,11.0,1.0,26.66142857,24.62,0.13052619,0.99144486,-0.85876396,0.51237141,26.66142857
2.0,0.0,2022.0,11.0,1.0,26.66142857,24.62,0.25881905,0.96592583,-0.85858015,0.51267936,18.85857143
3.0,0.0,2022.0,11.0,1.0,18.85857143,10.66,0.38268343,0.92387953,-0.85839623,0.51298724,10.46333333
4.0,0.0,2022.0,11.0,1.0,10.46333333,10.47,0.5,0.8660254,-0.85821221,0.51329505,9.40333333
5.0,0.0,2022.0,11.0,1.0,9.40333333,10.275,0.60876143,0.79335334,-0.85802807,0.5136028,3.21142857
6.0,0.0,2022.0,11.0,1.0,3.21142857,0.97,0.70710678,0.70710678,-0.85784382,0.51391048,0.95
7.0,0.0,2022.0,11.0,1.0,0.95,0.95,0.79335334,0.60876143,-0.85765946,0.51421809,0.03
8.0,0.0,2022.0,11.0,1.0,0.03,0.03,0.8660254,0.5,-0.85747499,0.51452564,0.03
9.0,0.0,2022.0,11.0,1.0,0.03,0.03,0.92387953,0.38268343,-0.85729041,0.51483312,0.03
10.0,0.0,2022.0,11.0,1.0,0.03,0.03,0.96592583,0.25881905,-0.85710573,0.51514054,0.48666667
11.0,0.0,2022.0,11.0,1.0,0.48666667,0.485,0.99144486,0.13052619,-0.85692093,0.51544789,6.52833333
12.0,0.0,2022.0,11.0,1.0,6.52833333,7.965,1.0,0.0,-0.85673602,0.51575517,6.19333333
13.0,0.0,2022.0,11.0,1.0,6.19333333,7.515,0.99144486,-0.13052619,-0.856551,0.51606239,32.28142857
14.0,0.0,2022.0,11.0,1.0,32.28142857,11.24,0.96592583,-0.25881905,-0.85636587,0.51636954,22.11857143
15.0,0.0,2022.0,11.0,1.0,22.11857143,10.82,0.92387953,-0.38268343,-0.85618063,0.51667663,31.58857143
16.0,0.0,2022.0,11.0,1.0,31.58857143,10.98,0.8660254,-0.5,-0.85599527,0.51698365,10.97571429
