TradingPeriod,IsProxyPriceFlag,Year,Month,Day,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Med$PerMWHr
1,0.0,2022.0,11.0,1.0,26.66142857,24.62,0.13052619,0.99144486,-0.85876396,0.51237141,24.62
2,0.0,2022.0,11.0,1.0,26.66142857,24.62,0.25881905,0.96592583,-0.85858015,0.51267936,10.66
3,0.0,2022.0,11.0,1.0,18.85857143,10.66,0.38268343,0.92387953,-0.85839623,0.51298724,10.47
4,0.0,2022.0,11.0,1.0,10.46333333,10.47,0.5,0.8660254,-0.85821221,0.51329505,10.275
5,0.0,2022.0,11.0,1.0,9.40333333,10.275,0.60876143,0.79335334,-0.85802807,0.5136028,0.97
6,0.0,2022.0,11.0,1.0,3.21142857,0.97,0.70710678,0.70710678,-0.85784382,0.51391048,0.95
7,0.0,2022.0,11.0,1.0,0.95,0.95,0.79335334,0.60876143,-0.85765946,0.51421809,0.03
8,0.0,2022.0,11.0,1.0,0.03,0.03,0.8660254,0.5,-0.85747499,0.51452564,0.03
9,0.0,2022.0,11.0,1.0,0.03,0.03,0.92387953,0.38268343,-0.85729041,0.51483312,0.03
10,0.0,2022.0,11.0,1.0,0.03,0.03,0.96592583,0.25881905,-0.85710573,0.51514054,0.485
11,0.0,2022.0,11.0,1.0,0.48666667,0.485,0.99144486,0.13052619,-0.85692093,0.51544789,7.965
12,0.0,2022.0,11.0,1.0,6.52833333,7.965,1.0,0.0,-0.85673602,0.51575517,7.515
13,0.0,2022.0,11.0,1.0,6.19333333,7.515,0.99144486,-0.13052619,-0.856551,0.51606239,11.24
14,0.0,2022.0,11.0,1.0,32.28142857,11.24,0.96592583,-0.25881905,-0.85636587,0.51636954,10.82
15,0.0,2022.0,11.0,1.0,22.11857143,10.82,0.92387953,-0.38268343,-0.85618063,0.51667663,10.98
16,0.0,2022.0,11.0,1.0,31.58857143,10.98,0.8660254,-0.5,-0.85599527,0.51698365,10.98
17,0.0,2022.0,11.0,1.0,10.97571429,10.98,0.79335334,-0.60876143,-0.85580981,0.5172906,10.97
18,0.0,2022.0,11.0,1.0,10.98857143,10.97,0.70710678,-0.70710678,-0.85562424,0.51759748,10.65
19,0.0,2022.0,11.0,1.0,10.73571429,10.65,0.60876143,-0.79335334,-0.85543856,0.5179043,0.53
20,0.0,2022.0,11.0,1.0,3.41714286,0.53,0.5,-0.8660254,-0.85525277,0.51821105,10.92
21,0.0,2022.0,11.0,1.0,9.44428571,10.92,0.38268343,-0.92387953,-0.85506687,0.51851774,10.91
22,0.0,2022.0,11.0,1.0,10.96285714,10.91,0.25881905,-0.96592583,-0.85488086,0.51882436,10.96
23,0.0,2022.0,11.0,1.0,25.92857143,10.96,0.13052619,-0.99144486,-0.85469474,0.51913091,10.935
24,0.0,2022.0,11.0,1.0,10.905,10.935,0.0,-1.0,-0.85450851,0.51943739,10.91
25,0.0,2022.0,11.0,1.0,10.90571429,10.91,-0.13052619,-0.99144486,-0.85432217,0.51974381,0.55
26,0.0,2022.0,11.0,1.0,1.97285714,0.55,-0.25881905,-0.96592583,-0.85413572,0.52005016,0.53
27,0.0,2022.0,11.0,1.0,0.52571429,0.53,-0.38268343,-0.92387953,-0.85394916,0.52035645,0.56
28,0.0,2022.0,11.0,1.0,2.45428571,0.56,-0.5,-0.8660254,-0.85376249,0.52066267,8.92
29,0.0,2022.0,11.0,1.0,6.99857143,8.92,-0.60876143,-0.79335334,-0.85357571,0.52096882,0.56
30,0.0,2022.0,11.0,1.0,2.56,0.56,-0.70710678,-0.70710678,-0.85338882,0.5212749,10.42
31,0.0,2022.0,11.0,1.0,10.42142857,10.42,-0.79335334,-0.60876143,-0.85320182,0.52158092,10.59
32,0.0,2022.0,11.0,1.0,10.14285714,10.59,-0.8660254,-0.5,-0.85301471,0.52188687,0.56
33,0.0,2022.0,11.0,1.0,4.72,0.56,-0.92387953,-0.38268343,-0.85282749,0.52219275,0.54
34,0.0,2022.0,11.0,1.0,4.65142857,0.54,-0.96592583,-0.25881905,-0.85264016,0.52249856,10.6
35,0.0,2022.0,11.0,1.0,9.06285714,10.6,-0.99144486,-0.13052619,-0.85245273,0.52280431,0.53
36,0.0,2022.0,11.0,1.0,1.62428571,0.53,-1.0,-0.0,-0.85226518,0.52310999,11.01
37,0.0,2022.0,11.0,1.0,10.47857143,11.01,-0.99144486,0.13052619,-0.85207752,0.52341561,11.0
38,0.0,2022.0,11.0,1.0,9.83571429,11.0,-0.96592583,0.25881905,-0.85188975,0.52372115,0.54
39,0.0,2022.0,11.0,1.0,2.00142857,0.54,-0.92387953,0.38268343,-0.85170188,0.52402663,0.02
40,0.0,2022.0,11.0,1.0,0.02,0.02,-0.8660254,0.5,-0.85151389,0.52433204,0.02
41,0.0,2022.0,11.0,1.0,0.02,0.02,-0.79335334,0.60876143,-0.8513258,0.52463739,0.02
42,0.0,2022.0,11.0,1.0,0.02285714,0.02,-0.70710678,0.70710678,-0.85113759,0.52494266,0.54
43,0.0,2022.0,11.0,1.0,1.27142857,0.54,-0.60876143,0.79335334,-0.85094928,0.52524787,0.54
44,0.0,2022.0,11.0,1.0,2.69285714,0.54,-0.5,0.8660254,-0.85076085,0.52555302,0.53
45,0.0,2022.0,11.0,1.0,0.53,0.53,-0.38268343,0.92387953,-0.85057232,0.52585809,0.275
46,0.0,2022.0,11.0,1.0,1.13833333,0.275,-0.25881905,0.96592583,-0.85038368,0.5261631,0.275
47,0.0,2022.0,11.0,1.0,1.11,0.275,-0.13052619,0.99144486,-0.85019492,0.52646803,2.935
48,0.0,2022.0,11.0,1.0,3.78833333,2.935,-0.0,1.0,-0.85000606,0.52677291,9.905
1,0.0,2022.0,11.0,2.0,7.09333333,9.905,0.13052619,0.99144486,-0.84981709,0.52707771,0.03
2,0.0,2022.0,11.0,2.0,0.03,0.03,0.25881905,0.96592583,-0.84962801,0.52738244,0.01
3,0.0,2022.0,11.0,2.0,0.01571429,0.01,0.38268343,0.92387953,-0.84943882,0.52768711,0.01
4,0.0,2022.0,11.0,2.0,0.01,0.01,0.5,0.8660254,-0.84924952,0.52799171,0.01
5,0.0,2022.0,11.0,2.0,0.01,0.01,0.60876143,0.79335334,-0.84906012,0.52829624,0.01
6,0.0,2022.0,11.0,2.0,0.01,0.01,0.70710678,0.70710678,-0.8488706,0.52860071,0.01
7,0.0,2022.0,11.0,2.0,0.01285714,0.01,0.79335334,0.60876143,-0.84868097,0.5289051,0.01
8,0.0,2022.0,11.0,2.0,0.01,0.01,0.8660254,0.5,-0.84849124,0.52920943,0.01
9,0.0,2022.0,11.0,2.0,0.01,0.01,0.92387953,0.38268343,-0.84830139,0.52951369,0.01
10,0.0,2022.0,11.0,2.0,0.01,0.01,0.96592583,0.25881905,-0.84811144,0.52981788,0.01
11,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,0.13052619,-0.84792138,0.53012201,0.01
12,0.0,2022.0,11.0,2.0,0.01,0.01,1.0,0.0,-0.8477312,0.53042606,0.01
13,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,-0.13052619,-0.84754092,0.53073005,0.03
14,0.0,2022.0,11.0,2.0,0.02142857,0.03,0.96592583,-0.25881905,-0.84735053,0.53103397,0.03
15,0.0,2022.0,11.0,2.0,0.02857143,0.03,0.92387953,-0.38268343,-0.84716003,0.53133782,0.04
16,0.0,2022.0,11.0,2.0,0.04428571,0.04,0.8660254,-0.5,-0.84696943,0.5316416,0.04
17,0.0,2022.0,11.0,2.0,0.04333333,0.04,0.79335334,-0.60876143,-0.84677871,0.53194531,0.14
18,0.0,2022.0,11.0,2.0,0.23142857,0.14,0.70710678,-0.70710678,-0.84658788,0.53224896,0.14
19,0.0,2022.0,11.0,2.0,0.26666667,0.14,0.60876143,-0.79335334,-0.84639695,0.53255254,0.14
20,0.0,2022.0,11.0,2.0,0.18,0.14,0.5,-0.8660254,-0.84620591,0.53285604,0.14
21,0.0,2022.0,11.0,2.0,0.17714286,0.14,0.38268343,-0.92387953,-0.84601475,0.53315948,0.14
22,0.0,2022.0,11.0,2.0,0.13,0.14,0.25881905,-0.96592583,-0.84582349,0.53346286,0.12
23,0.0,2022.0,11.0,2.0,0.10714286,0.12,0.13052619,-0.99144486,-0.84563212,0.53376616,10.68
24,0.0,2022.0,11.0,2.0,7.56166667,10.68,0.0,-1.0,-0.84544064,0.53406939,10.88
25,0.0,2022.0,11.0,2.0,10.84428571,10.88,-0.13052619,-0.99144486,-0.84524906,0.53437256,10.83
26,0.0,2022.0,11.0,2.0,9.57142857,10.83,-0.25881905,-0.96592583,-0.84505736,0.53467565,10.82
27,0.0,2022.0,11.0,2.0,9.94571429,10.82,-0.38268343,-0.92387953,-0.84486556,0.53497868,10.83
28,0.0,2022.0,11.0,2.0,9.59857143,10.83,-0.5,-0.8660254,-0.84467364,0.53528164,10.83
29,0.0,2022.0,11.0,2.0,10.834,10.83,-0.60876143,-0.79335334,-0.84448162,0.53558453,10.87
30,0.0,2022.0,11.0,2.0,10.17,10.87,-0.70710678,-0.70710678,-0.84428949,0.53588735,10.87
31,0.0,2022.0,11.0,2.0,11.33,10.87,-0.79335334,-0.60876143,-0.84409725,0.53619011,43.56
32,0.0,2022.0,11.0,2.0,33.02571429,43.56,-0.8660254,-0.5,-0.8439049,0.53649279,81.495
33,0.0,2022.0,11.0,2.0,74.33666667,81.495,-0.92387953,-0.38268343,-0.84371245,0.5367954,46.05
34,0.0,2022.0,11.0,2.0,44.51142857,46.05,-0.96592583,-0.25881905,-0.84351988,0.53709795,44.04
35,0.0,2022.0,11.0,2.0,40.10142857,44.04,-0.99144486,-0.13052619,-0.84332721,0.53740043,11.09
36,0.0,2022.0,11.0,2.0,11.43333333,11.09,-1.0,-0.0,-0.84313443,0.53770283,11.28
37,0.0,2022.0,11.0,2.0,16.93833333,11.28,-0.99144486,0.13052619,-0.84294154,0.53800517,11.09
38,0.0,2022.0,11.0,2.0,11.07428571,11.09,-0.96592583,0.25881905,-0.84274854,0.53830744,10.92
39,0.0,2022.0,11.0,2.0,10.95285714,10.92,-0.92387953,0.38268343,-0.84255543,0.53860964,10.91
40,0.0,2022.0,11.0,2.0,9.26,10.91,-0.8660254,0.5,-0.84236222,0.53891177,10.88
41,0.0,2022.0,11.0,2.0,9.39571429,10.88,-0.79335334,0.60876143,-0.84216889,0.53921383,10.98
42,0.0,2022.0,11.0,2.0,10.96285714,10.98,-0.70710678,0.70710678,-0.84197546,0.53951582,11.1
43,0.0,2022.0,11.0,2.0,20.12,11.1,-0.60876143,0.79335334,-0.84178192,0.53981775,11.03
44,0.0,2022.0,11.0,2.0,10.98142857,11.03,-0.5,0.8660254,-0.84158827,0.5401196,5.575
45,0.0,2022.0,11.0,2.0,5.685,5.575,-0.38268343,0.92387953,-0.84139451,0.54042138,10.92
46,0.0,2022.0,11.0,2.0,9.17166667,10.92,-0.25881905,0.96592583,-0.84120065,0.5407231,10.86
47,0.0,2022.0,11.0,2.0,10.85833333,10.86,-0.13052619,0.99144486,-0.84100668,0.54102474,10.885
48,0.0,2022.0,11.0,2.0,10.81166667,10.885,-0.0,1.0,-0.8408126,0.54132632,0.275
1,0.0,2022.0,11.0,3.0,0.275,0.275,0.13052619,0.99144486,-0.84061841,0.54162782,5.855
2,0.0,2022.0,11.0,3.0,5.72166667,5.855,0.25881905,0.96592583,-0.84042411,0.54192926,0.02
3,0.0,2022.0,11.0,3.0,0.02,0.02,0.38268343,0.92387953,-0.8402297,0.54223062,0.02
4,0.0,2022.0,11.0,3.0,0.02,0.02,0.5,0.8660254,-0.84003519,0.54253192,0.02
