@relation relation: PoC: HAM0331; Target: Avg$PerMWHr; Delay: 24hr

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute PrevAvg$PerMWHr numeric
@attribute PrevMed$PerMWHr numeric
@attribute SinPeriod numeric
@attribute CosPeriod numeric
@attribute SinDate numeric
@attribute CosDate numeric
@attribute Avg$PerMWHr numeric

@data
48.0,0.0,2022.0,11.0,1.0,26.04571429,24.12,-0.0,1.0,-0.85000606,0.52677291,6.885
1.0,0.0,2022.0,11.0,2.0,26.04571429,24.12,0.13052619,0.99144486,-0.84981709,0.52707771,0.03
2.0,0.0,2022.0,11.0,2.0,18.52285714,10.51,0.25881905,0.96592583,-0.84962801,0.52738244,0.01571429
3.0,0.0,2022.0,11.0,2.0,10.34333333,10.35,0.38268343,0.92387953,-0.84943882,0.52768711,0.01
4.0,0.0,2022.0,11.0,2.0,9.29,10.15,0.5,0.8660254,-0.84924952,0.52799171,0.01
5.0,0.0,2022.0,11.0,2.0,3.17857143,0.96,0.60876143,0.79335334,-0.84906012,0.52829624,0.01
6.0,0.0,2022.0,11.0,2.0,0.94,0.94,0.70710678,0.70710678,-0.8488706,0.52860071,0.01285714
7.0,0.0,2022.0,11.0,2.0,0.03,0.03,0.79335334,0.60876143,-0.84868097,0.5289051,0.01
8.0,0.0,2022.0,11.0,2.0,0.03,0.03,0.8660254,0.5,-0.84849124,0.52920943,0.01
9.0,0.0,2022.0,11.0,2.0,0.03,0.03,0.92387953,0.38268343,-0.84830139,0.52951369,0.01
10.0,0.0,2022.0,11.0,2.0,0.48166667,0.48,0.96592583,0.25881905,-0.84811144,0.52981788,0.01
11.0,0.0,2022.0,11.0,2.0,6.425,7.855,0.99144486,0.13052619,-0.84792138,0.53012201,0.01
12.0,0.0,2022.0,11.0,2.0,6.03333333,7.325,1.0,0.0,-0.8477312,0.53042606,0.01
13.0,0.0,2022.0,11.0,2.0,31.19857143,10.87,0.99144486,-0.13052619,-0.84754092,0.53073005,0.02142857
14.0,0.0,2022.0,11.0,2.0,21.31714286,10.49,0.96592583,-0.25881905,-0.84735053,0.53103397,0.02857143
15.0,0.0,2022.0,11.0,2.0,30.36285714,10.57,0.92387953,-0.38268343,-0.84716003,0.53133782,0.04428571
16.0,0.0,2022.0,11.0,2.0,10.59,10.59,0.8660254,-0.5,-0.84696943,0.5316416,0.04333333
17.0,0.0,2022.0,11.0,2.0,10.60428571,10.59,0.79335334,-0.60876143,-0.84677871,0.53194531,0.22142857
18.0,0.0,2022.0,11.0,2.0,10.37,10.29,0.70710678,-0.70710678,-0.84658788,0.53224896,0.25666667
19.0,0.0,2022.0,11.0,2.0,3.3,0.51,0.60876143,-0.79335334,-0.84639695,0.53255254,0.17
20.0,0.0,2022.0,11.0,2.0,9.13,10.55,0.5,-0.8660254,-0.84620591,0.53285604,0.17142857
21.0,0.0,2022.0,11.0,2.0,10.59285714,10.54,0.38268343,-0.92387953,-0.84601475,0.53315948,0.12285714
22.0,0.0,2022.0,11.0,2.0,25.06,10.59,0.25881905,-0.96592583,-0.84582349,0.53346286,0.10428571
23.0,0.0,2022.0,11.0,2.0,10.545,10.575,0.13052619,-0.99144486,-0.84563212,0.53376616,7.26833333
24.0,0.0,2022.0,11.0,2.0,10.54428571,10.54,0.0,-1.0,-0.84544064,0.53406939,10.39428571
25.0,0.0,2022.0,11.0,2.0,1.90714286,0.53,-0.13052619,-0.99144486,-0.84524906,0.53437256,9.23285714
26.0,0.0,2022.0,11.0,2.0,0.51428571,0.51,-0.25881905,-0.96592583,-0.84505736,0.53467565,9.59857143
27.0,0.0,2022.0,11.0,2.0,2.37,0.54,-0.38268343,-0.92387953,-0.84486556,0.53497868,9.26142857
28.0,0.0,2022.0,11.0,2.0,6.76428571,8.62,-0.5,-0.8660254,-0.84467364,0.53528164,10.458
29.0,0.0,2022.0,11.0,2.0,2.47571429,0.54,-0.60876143,-0.79335334,-0.84448162,0.53558453,9.81285714
30.0,0.0,2022.0,11.0,2.0,10.08,10.08,-0.70710678,-0.70710678,-0.84428949,0.53588735,10.942
31.0,0.0,2022.0,11.0,2.0,9.82142857,10.25,-0.79335334,-0.60876143,-0.84409725,0.53619011,31.69714286
32.0,0.0,2022.0,11.0,2.0,4.57285714,0.54,-0.8660254,-0.5,-0.8439049,0.53649279,71.53
33.0,0.0,2022.0,11.0,2.0,4.51,0.52,-0.92387953,-0.38268343,-0.84371245,0.5367954,42.86142857
34.0,0.0,2022.0,11.0,2.0,8.76714286,10.27,-0.96592583,-0.25881905,-0.84351988,0.53709795,38.57142857
