@relation relation: PoC: ISL0661; Target: Med$PerMWHr; Delay: 24hr

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute PrevAvg$PerMWHr numeric
@attribute PrevMed$PerMWHr numeric
@attribute SinPeriod numeric
@attribute CosPeriod numeric
@attribute SinDate numeric
@attribute CosDate numeric
@attribute Med$PerMWHr numeric

@data
48.0,0.0,2022.0,11.0,1.0,28.83714286,26.76,-0.0,1.0,-0.85000606,0.52677291,10.115
1.0,0.0,2022.0,11.0,2.0,28.83714286,26.76,0.13052619,0.99144486,-0.84981709,0.52707771,0.03
2.0,0.0,2022.0,11.0,2.0,20.14428571,11.49,0.25881905,0.96592583,-0.84962801,0.52738244,0.01
3.0,0.0,2022.0,11.0,2.0,11.16166667,11.175,0.38268343,0.92387953,-0.84943882,0.52768711,0.01
4.0,0.0,2022.0,11.0,2.0,9.83666667,10.715,0.5,0.8660254,-0.84924952,0.52799171,0.01
5.0,0.0,2022.0,11.0,2.0,3.38428571,1.02,0.60876143,0.79335334,-0.84906012,0.52829624,0.01
6.0,0.0,2022.0,11.0,2.0,0.99666667,1.0,0.70710678,0.70710678,-0.8488706,0.52860071,0.01
7.0,0.0,2022.0,11.0,2.0,0.02571429,0.03,0.79335334,0.60876143,-0.84868097,0.5289051,0.01
8.0,0.0,2022.0,11.0,2.0,0.02833333,0.03,0.8660254,0.5,-0.84849124,0.52920943,0.01
9.0,0.0,2022.0,11.0,2.0,0.03,0.03,0.92387953,0.38268343,-0.84830139,0.52951369,0.01
10.0,0.0,2022.0,11.0,2.0,0.49333333,0.49,0.96592583,0.25881905,-0.84811144,0.52981788,0.01
11.0,0.0,2022.0,11.0,2.0,6.495,7.96,0.99144486,0.13052619,-0.84792138,0.53012201,0.01
12.0,0.0,2022.0,11.0,2.0,6.08166667,7.365,1.0,0.0,-0.8477312,0.53042606,0.01
13.0,0.0,2022.0,11.0,2.0,30.71428571,10.69,0.99144486,-0.13052619,-0.84754092,0.53073005,0.02
14.0,0.0,2022.0,11.0,2.0,20.96857143,10.25,0.96592583,-0.25881905,-0.84735053,0.53103397,0.03
15.0,0.0,2022.0,11.0,2.0,27.19,9.92,0.92387953,-0.38268343,-0.84716003,0.53133782,0.03
