@relation relation: PoC: SDN0331; Target: Avg$PerMWHr; Delay: 24hr

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute PrevAvg$PerMWHr numeric
@attribute PrevMed$PerMWHr numeric
@attribute SinPeriod numeric
@attribute CosPeriod numeric
@attribute SinDate numeric
@attribute CosDate numeric
@attribute Avg$PerMWHr numeric

@data
48.0,0.0,2022.0,11.0,1.0,27.12428571,25.19,-0.0,1.0,-0.85000606,0.52677291,6.73666667
1.0,0.0,2022.0,11.0,2.0,27.12428571,25.19,0.13052619,0.99144486,-0.84981709,0.52707771,0.026
2.0,0.0,2022.0,11.0,2.0,18.92714286,10.82,0.25881905,0.96592583,-0.84962801,0.52738244,0.01285714
3.0,0.0,2022.0,11.0,2.0,10.48666667,10.5,0.38268343,0.92387953,-0.84943882,0.52768711,0.01
4.0,0.0,2022.0,11.0,2.0,9.24333333,10.07,0.5,0.8660254,-0.84924952,0.52799171,0.01
5.0,0.0,2022.0,11.0,2.0,3.18142857,0.96,0.60876143,0.79335334,-0.84906012,0.52829624,0.01
6.0,0.0,2022.0,11.0,2.0,0.93666667,0.94,0.70710678,0.70710678,-0.8488706,0.52860071,0.01285714
7.0,0.0,2022.0,11.0,2.0,0.02571429,0.03,0.79335334,0.60876143,-0.84868097,0.5289051,0.01
8.0,0.0,2022.0,11.0,2.0,0.02833333,0.03,0.8660254,0.5,-0.84849124,0.52920943,0.01
9.0,0.0,2022.0,11.0,2.0,0.03,0.03,0.92387953,0.38268343,-0.84830139,0.52951369,0.01
10.0,0.0,2022.0,11.0,2.0,0.46,0.455,0.96592583,0.25881905,-0.84811144,0.52981788,0.01
11.0,0.0,2022.0,11.0,2.0,6.04833333,7.395,0.99144486,0.13052619,-0.84792138,0.53012201,0.01
12.0,0.0,2022.0,11.0,2.0,5.61,6.79,1.0,0.0,-0.8477312,0.53042606,0.01
13.0,0.0,2022.0,11.0,2.0,28.17142857,9.84,0.99144486,-0.13052619,-0.84754092,0.53073005,0.01571429
14.0,0.0,2022.0,11.0,2.0,19.13,9.35,0.96592583,-0.25881905,-0.84735053,0.53103397,0.02571429
15.0,0.0,2022.0,11.0,2.0,24.55,8.94,0.92387953,-0.38268343,-0.84716003,0.53133782,0.03
16.0,0.0,2022.0,11.0,2.0,8.64571429,8.66,0.8660254,-0.5,-0.84696943,0.5316416,0.03
