TradingPeriod,IsProxyPriceFlag,Year,Month,Day,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Med$PerMWHr
8,0.0,2022.0,11.0,1.0,27.12428571,25.19,0.8660254,0.5,-0.85747499,0.51452564,0.03
9,0.0,2022.0,11.0,1.0,27.12428571,25.19,0.92387953,0.38268343,-0.85729041,0.51483312,0.03
10,0.0,2022.0,11.0,1.0,18.92714286,10.82,0.96592583,0.25881905,-0.85710573,0.51514054,0.455
11,0.0,2022.0,11.0,1.0,10.48666667,10.5,0.99144486,0.13052619,-0.85692093,0.51544789,7.395
12,0.0,2022.0,11.0,1.0,9.24333333,10.07,1.0,0.0,-0.85673602,0.51575517,6.79
13,0.0,2022.0,11.0,1.0,3.18142857,0.96,0.99144486,-0.13052619,-0.856551,0.51606239,9.84
14,0.0,2022.0,11.0,1.0,0.93666667,0.94,0.96592583,-0.25881905,-0.85636587,0.51636954,9.35
15,0.0,2022.0,11.0,1.0,0.02571429,0.03,0.92387953,-0.38268343,-0.85618063,0.51667663,8.94
16,0.0,2022.0,11.0,1.0,0.02833333,0.03,0.8660254,-0.5,-0.85599527,0.51698365,8.66
17,0.0,2022.0,11.0,1.0,0.03,0.03,0.79335334,-0.60876143,-0.85580981,0.5172906,8.48
18,0.0,2022.0,11.0,1.0,0.46,0.455,0.70710678,-0.70710678,-0.85562424,0.51759748,8.12
19,0.0,2022.0,11.0,1.0,6.04833333,7.395,0.60876143,-0.79335334,-0.85543856,0.5179043,0.4
20,0.0,2022.0,11.0,1.0,5.61,6.79,0.5,-0.8660254,-0.85525277,0.51821105,8.25
21,0.0,2022.0,11.0,1.0,28.17142857,9.84,0.38268343,-0.92387953,-0.85506687,0.51851774,8.4
22,0.0,2022.0,11.0,1.0,19.13,9.35,0.25881905,-0.96592583,-0.85488086,0.51882436,8.71
23,0.0,2022.0,11.0,1.0,24.55,8.94,0.13052619,-0.99144486,-0.85469474,0.51913091,8.53
24,0.0,2022.0,11.0,1.0,8.64571429,8.66,0.0,-1.0,-0.85450851,0.51943739,8.43
25,0.0,2022.0,11.0,1.0,8.47285714,8.48,-0.13052619,-0.99144486,-0.85432217,0.51974381,0.42
26,0.0,2022.0,11.0,1.0,8.18,8.12,-0.25881905,-0.96592583,-0.85413572,0.52005016,0.41
27,0.0,2022.0,11.0,1.0,2.56428571,0.4,-0.38268343,-0.92387953,-0.85394916,0.52035645,0.44
28,0.0,2022.0,11.0,1.0,7.13,8.25,-0.5,-0.8660254,-0.85376249,0.52066267,7.05
29,0.0,2022.0,11.0,1.0,8.38,8.4,-0.60876143,-0.79335334,-0.85357571,0.52096882,0.44
30,0.0,2022.0,11.0,1.0,20.57142857,8.71,-0.70710678,-0.70710678,-0.85338882,0.5212749,8.23
31,0.0,2022.0,11.0,1.0,8.48666667,8.53,-0.79335334,-0.60876143,-0.85320182,0.52158092,8.33
32,0.0,2022.0,11.0,1.0,8.43714286,8.43,-0.8660254,-0.5,-0.85301471,0.52188687,0.41
33,0.0,2022.0,11.0,1.0,1.53,0.42,-0.92387953,-0.38268343,-0.85282749,0.52219275,0.4
34,0.0,2022.0,11.0,1.0,0.41142857,0.41,-0.96592583,-0.25881905,-0.85264016,0.52249856,8.3
35,0.0,2022.0,11.0,1.0,1.93857143,0.44,-0.99144486,-0.13052619,-0.85245273,0.52280431,0.4
36,0.0,2022.0,11.0,1.0,5.55428571,7.05,-1.0,-0.0,-0.85226518,0.52310999,8.5
37,0.0,2022.0,11.0,1.0,2.02714286,0.44,-0.99144486,0.13052619,-0.85207752,0.52341561,8.52
38,0.0,2022.0,11.0,1.0,8.21285714,8.23,-0.96592583,0.25881905,-0.85188975,0.52372115,0.4
39,0.0,2022.0,11.0,1.0,7.97714286,8.33,-0.92387953,0.38268343,-0.85170188,0.52402663,0.02
40,0.0,2022.0,11.0,1.0,3.48142857,0.41,-0.8660254,0.5,-0.85151389,0.52433204,0.02
41,0.0,2022.0,11.0,1.0,3.46,0.4,-0.79335334,0.60876143,-0.8513258,0.52463739,0.01
42,0.0,2022.0,11.0,1.0,7.03714286,8.3,-0.70710678,0.70710678,-0.85113759,0.52494266,0.41
43,0.0,2022.0,11.0,1.0,1.22285714,0.4,-0.60876143,0.79335334,-0.85094928,0.52524787,0.41
44,0.0,2022.0,11.0,1.0,8.08428571,8.5,-0.5,0.8660254,-0.85076085,0.52555302,0.42
45,0.0,2022.0,11.0,1.0,7.60714286,8.52,-0.38268343,0.92387953,-0.85057232,0.52585809,0.235
46,0.0,2022.0,11.0,1.0,1.52857143,0.4,-0.25881905,0.96592583,-0.85038368,0.5261631,0.24
47,0.0,2022.0,11.0,1.0,0.02,0.02,-0.13052619,0.99144486,-0.85019492,0.52646803,2.76
48,0.0,2022.0,11.0,1.0,0.01833333,0.02,-0.0,1.0,-0.85000606,0.52677291,9.41
1,0.0,2022.0,11.0,2.0,0.01142857,0.01,0.13052619,0.99144486,-0.84981709,0.52707771,0.03
2,0.0,2022.0,11.0,2.0,0.96142857,0.41,0.25881905,0.96592583,-0.84962801,0.52738244,0.01
3,0.0,2022.0,11.0,2.0,2.04571429,0.41,0.38268343,0.92387953,-0.84943882,0.52768711,0.01
4,0.0,2022.0,11.0,2.0,0.41666667,0.42,0.5,0.8660254,-0.84924952,0.52799171,0.01
5,0.0,2022.0,11.0,2.0,0.96166667,0.235,0.60876143,0.79335334,-0.84906012,0.52829624,0.01
6,0.0,2022.0,11.0,2.0,0.96,0.24,0.70710678,0.70710678,-0.8488706,0.52860071,0.01
7,0.0,2022.0,11.0,2.0,6.09166667,2.76,0.79335334,0.60876143,-0.84868097,0.5289051,0.01
8,0.0,2022.0,11.0,2.0,6.73666667,9.41,0.8660254,0.5,-0.84849124,0.52920943,0.01
9,0.0,2022.0,11.0,2.0,0.026,0.03,0.92387953,0.38268343,-0.84830139,0.52951369,0.01
10,0.0,2022.0,11.0,2.0,0.01285714,0.01,0.96592583,0.25881905,-0.84811144,0.52981788,0.01
11,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,0.13052619,-0.84792138,0.53012201,0.01
12,0.0,2022.0,11.0,2.0,0.01,0.01,1.0,0.0,-0.8477312,0.53042606,0.01
13,0.0,2022.0,11.0,2.0,0.01,0.01,0.99144486,-0.13052619,-0.84754092,0.53073005,0.02
14,0.0,2022.0,11.0,2.0,0.01285714,0.01,0.96592583,-0.25881905,-0.84735053,0.53103397,0.03
15,0.0,2022.0,11.0,2.0,0.01,0.01,0.92387953,-0.38268343,-0.84716003,0.53133782,0.03
16,0.0,2022.0,11.0,2.0,0.01,0.01,0.8660254,-0.5,-0.84696943,0.5316416,0.03
17,0.0,2022.0,11.0,2.0,0.01,0.01,0.79335334,-0.60876143,-0.84677871,0.53194531,0.03
18,0.0,2022.0,11.0,2.0,0.01,0.01,0.70710678,-0.70710678,-0.84658788,0.53224896,0.03
19,0.0,2022.0,11.0,2.0,0.01,0.01,0.60876143,-0.79335334,-0.84639695,0.53255254,0.03
20,0.0,2022.0,11.0,2.0,0.01,0.01,0.5,-0.8660254,-0.84620591,0.53285604,0.03
21,0.0,2022.0,11.0,2.0,0.01571429,0.02,0.38268343,-0.92387953,-0.84601475,0.53315948,0.03
22,0.0,2022.0,11.0,2.0,0.02571429,0.03,0.25881905,-0.96592583,-0.84582349,0.53346286,0.03
23,0.0,2022.0,11.0,2.0,0.03,0.03,0.13052619,-0.99144486,-0.84563212,0.53376616,8.26
24,0.0,2022.0,11.0,2.0,0.03,0.03,0.0,-1.0,-0.84544064,0.53406939,8.37
