@relation relation: PoC: STK0331; Target: Avg$PerMWHr; Delay: 6hr

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute PrevAvg$PerMWHr numeric
@attribute PrevMed$PerMWHr numeric
@attribute SinPeriod numeric
@attribute CosPeriod numeric
@attribute SinDate numeric
@attribute CosDate numeric
@attribute Avg$PerMWHr numeric

@data
12.0,0.0,2022.0,11.0,1.0,29.25,27.14,1.0,0.0,-0.85673602,0.51575517,6.24
13.0,0.0,2022.0,11.0,1.0,29.25,27.14,0.99144486,-0.13052619,-0.856551,0.51606239,31.83428571
14.0,0.0,2022.0,11.0,1.0,20.43428571,11.66,0.96592583,-0.25881905,-0.85636587,0.51636954,21.73428571
15.0,0.0,2022.0,11.0,1.0,11.32166667,11.335,0.92387953,-0.38268343,-0.85618063,0.51667663,28.59285714
16.0,0.0,2022.0,11.0,1.0,9.975,10.865,0.8660254,-0.5,-0.85599527,0.51698365,10.31428571
17.0,0.0,2022.0,11.0,1.0,3.43285714,1.04,0.79335334,-0.60876143,-0.85580981,0.5172906,10.11285714
18.0,0.0,2022.0,11.0,1.0,1.015,1.02,0.70710678,-0.70710678,-0.85562424,0.51759748,9.75571429
19.0,0.0,2022.0,11.0,1.0,0.02571429,0.03,0.60876143,-0.79335334,-0.85543856,0.5179043,3.05
20.0,0.0,2022.0,11.0,1.0,0.02833333,0.03,0.5,-0.8660254,-0.85525277,0.51821105,8.46571429
21.0,0.0,2022.0,11.0,1.0,0.03,0.03,0.38268343,-0.92387953,-0.85506687,0.51851774,9.87142857
22.0,0.0,2022.0,11.0,1.0,0.50166667,0.495,0.25881905,-0.96592583,-0.85488086,0.51882436,23.63857143
23.0,0.0,2022.0,11.0,1.0,6.62,8.13,0.13052619,-0.99144486,-0.85469474,0.51913091,9.76833333
24.0,0.0,2022.0,11.0,1.0,6.24,7.61,0.0,-1.0,-0.85450851,0.51943739,9.72142857
25.0,0.0,2022.0,11.0,1.0,31.83428571,11.09,-0.13052619,-0.99144486,-0.85432217,0.51974381,1.77714286
26.0,0.0,2022.0,11.0,1.0,21.73428571,10.63,-0.25881905,-0.96592583,-0.85413572,0.52005016,0.48571429
27.0,0.0,2022.0,11.0,1.0,28.59285714,10.26,-0.38268343,-0.92387953,-0.85394916,0.52035645,2.28714286
28.0,0.0,2022.0,11.0,1.0,10.31428571,10.33,-0.5,-0.8660254,-0.85376249,0.52066267,6.48428571
29.0,0.0,2022.0,11.0,1.0,10.11285714,10.13,-0.60876143,-0.79335334,-0.85357571,0.52096882,2.39
30.0,0.0,2022.0,11.0,1.0,9.75571429,9.69,-0.70710678,-0.70710678,-0.85338882,0.5212749,9.52285714
31.0,0.0,2022.0,11.0,1.0,3.05,0.48,-0.79335334,-0.60876143,-0.85320182,0.52158092,9.24142857
32.0,0.0,2022.0,11.0,1.0,8.46571429,9.78,-0.8660254,-0.5,-0.85301471,0.52188687,4.12571429
33.0,0.0,2022.0,11.0,1.0,9.87142857,9.79,-0.92387953,-0.38268343,-0.85282749,0.52219275,4.12857143
34.0,0.0,2022.0,11.0,1.0,23.63857143,10.01,-0.96592583,-0.25881905,-0.85264016,0.52249856,8.10428571
35.0,0.0,2022.0,11.0,1.0,9.76833333,9.815,-0.99144486,-0.13052619,-0.85245273,0.52280431,1.44714286
36.0,0.0,2022.0,11.0,1.0,9.72142857,9.72,-1.0,-0.0,-0.85226518,0.52310999,9.43571429
37.0,0.0,2022.0,11.0,1.0,1.77714286,0.5,-0.99144486,0.13052619,-0.85207752,0.52341561,8.86285714
38.0,0.0,2022.0,11.0,1.0,0.48571429,0.48,-0.96592583,0.25881905,-0.85188975,0.52372115,1.81714286
39.0,0.0,2022.0,11.0,1.0,2.28714286,0.52,-0.92387953,0.38268343,-0.85170188,0.52402663,0.02
40.0,0.0,2022.0,11.0,1.0,6.48428571,8.34,-0.8660254,0.5,-0.85151389,0.52433204,0.01833333
41.0,0.0,2022.0,11.0,1.0,2.39,0.52,-0.79335334,0.60876143,-0.8513258,0.52463739,0.01142857
42.0,0.0,2022.0,11.0,1.0,9.52285714,9.49,-0.70710678,0.70710678,-0.85113759,0.52494266,1.11142857
43.0,0.0,2022.0,11.0,1.0,9.24142857,9.64,-0.60876143,0.79335334,-0.85094928,0.52524787,2.35
44.0,0.0,2022.0,11.0,1.0,4.12571429,0.49,-0.5,0.8660254,-0.85076085,0.52555302,0.47
45.0,0.0,2022.0,11.0,1.0,4.12857143,0.47,-0.38268343,0.92387953,-0.85057232,0.52585809,1.055
46.0,0.0,2022.0,11.0,1.0,8.10428571,9.49,-0.25881905,0.96592583,-0.85038368,0.5261631,1.05333333
47.0,0.0,2022.0,11.0,1.0,1.44714286,0.46,-0.13052619,0.99144486,-0.85019492,0.52646803,6.485
48.0,0.0,2022.0,11.0,1.0,9.43571429,9.94,-0.0,1.0,-0.85000606,0.52677291,7.38333333
1.0,0.0,2022.0,11.0,2.0,8.86285714,9.88,0.13052619,0.99144486,-0.84981709,0.52707771,0.026
2.0,0.0,2022.0,11.0,2.0,1.81714286,0.48,0.25881905,0.96592583,-0.84962801,0.52738244,0.01285714
3.0,0.0,2022.0,11.0,2.0,0.02,0.02,0.38268343,0.92387953,-0.84943882,0.52768711,0.01
4.0,0.0,2022.0,11.0,2.0,0.01833333,0.02,0.5,0.8660254,-0.84924952,0.52799171,0.01
5.0,0.0,2022.0,11.0,2.0,0.01142857,0.01,0.60876143,0.79335334,-0.84906012,0.52829624,0.01
6.0,0.0,2022.0,11.0,2.0,1.11142857,0.47,0.70710678,0.70710678,-0.8488706,0.52860071,0.01285714
7.0,0.0,2022.0,11.0,2.0,2.35,0.47,0.79335334,0.60876143,-0.84868097,0.5289051,0.01
8.0,0.0,2022.0,11.0,2.0,0.47,0.475,0.8660254,0.5,-0.84849124,0.52920943,0.01
