TradingPeriod,IsProxyPriceFlag,Year,Month,Day,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Avg$PerMWHr
8,0.0,2022.0,11.0,1.0,27.29,25.28,0.8660254,0.5,-0.85747499,0.51452564,0.03
9,0.0,2022.0,11.0,1.0,27.29,25.28,0.92387953,0.38268343,-0.85729041,0.51483312,0.03
10,0.0,2022.0,11.0,1.0,19.13285714,10.89,0.96592583,0.25881905,-0.85710573,0.51514054,0.47833333
11,0.0,2022.0,11.0,1.0,10.63833333,10.645,0.99144486,0.13052619,-0.85692093,0.51544789,6.28833333
12,0.0,2022.0,11.0,1.0,9.465,10.32,1.0,0.0,-0.85673602,0.51575517,5.915
13,0.0,2022.0,11.0,1.0,3.28142857,0.99,0.99144486,-0.13052619,-0.856551,0.51606239,30.79571429
14,0.0,2022.0,11.0,1.0,0.97333333,0.975,0.96592583,-0.25881905,-0.85636587,0.51636954,20.97714286
15,0.0,2022.0,11.0,1.0,0.03,0.03,0.92387953,-0.38268343,-0.85618063,0.51667663,29.22428571
16,0.0,2022.0,11.0,1.0,0.03,0.03,0.8660254,-0.5,-0.85599527,0.51698365,10.04571429
17,0.0,2022.0,11.0,1.0,0.03,0.03,0.79335334,-0.60876143,-0.85580981,0.5172906,9.98428571
18,0.0,2022.0,11.0,1.0,0.47833333,0.475,0.70710678,-0.70710678,-0.85562424,0.51759748,9.63857143
19,0.0,2022.0,11.0,1.0,6.28833333,7.705,0.60876143,-0.79335334,-0.85543856,0.5179043,3.05428571
20,0.0,2022.0,11.0,1.0,5.915,7.165,0.5,-0.8660254,-0.85525277,0.51821105,8.45
21,0.0,2022.0,11.0,1.0,30.79571429,10.71,0.38268343,-0.92387953,-0.85506687,0.51851774,9.87
22,0.0,2022.0,11.0,1.0,20.97714286,10.34,0.25881905,-0.96592583,-0.85488086,0.51882436,23.70857143
23,0.0,2022.0,11.0,1.0,29.22428571,10.17,0.13052619,-0.99144486,-0.85469474,0.51913091,9.83166667
24,0.0,2022.0,11.0,1.0,10.04571429,10.05,0.0,-1.0,-0.85450851,0.51943739,9.76
25,0.0,2022.0,11.0,1.0,9.98428571,9.99,-0.13052619,-0.99144486,-0.85432217,0.51974381,1.76428571
26,0.0,2022.0,11.0,1.0,9.63857143,9.57,-0.25881905,-0.96592583,-0.85413572,0.52005016,0.47142857
27,0.0,2022.0,11.0,1.0,3.05428571,0.47,-0.38268343,-0.92387953,-0.85394916,0.52035645,2.18
28,0.0,2022.0,11.0,1.0,8.45,9.76,-0.5,-0.8660254,-0.85376249,0.52066267,6.25285714
29,0.0,2022.0,11.0,1.0,9.87,9.85,-0.60876143,-0.79335334,-0.85357571,0.52096882,2.27
30,0.0,2022.0,11.0,1.0,23.70857143,10.05,-0.70710678,-0.70710678,-0.85338882,0.5212749,9.17285714
31,0.0,2022.0,11.0,1.0,9.83166667,9.875,-0.79335334,-0.60876143,-0.85320182,0.52158092,8.84
32,0.0,2022.0,11.0,1.0,9.76,9.76,-0.8660254,-0.5,-0.85301471,0.52188687,4.01428571
33,0.0,2022.0,11.0,1.0,1.76428571,0.49,-0.92387953,-0.38268343,-0.85282749,0.52219275,3.95428571
