@relation relation: PoC: WGN0331; Target: Med$PerMWHr; Delay: 6hr

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute PrevAvg$PerMWHr numeric
@attribute PrevMed$PerMWHr numeric
@attribute SinPeriod numeric
@attribute CosPeriod numeric
@attribute SinDate numeric
@attribute CosDate numeric
@attribute Med$PerMWHr numeric

@data
12.0,0.0,2022.0,11.0,1.0,27.29,25.28,1.0,0.0,-0.85673602,0.51575517,7.165
13.0,0.0,2022.0,11.0,1.0,27.29,25.28,0.99144486,-0.13052619,-0.856551,0.51606239,10.71
14.0,0.0,2022.0,11.0,1.0,19.13285714,10.89,0.96592583,-0.25881905,-0.85636587,0.51636954,10.34
15.0,0.0,2022.0,11.0,1.0,10.63833333,10.645,0.92387953,-0.38268343,-0.85618063,0.51667663,10.17
16.0,0.0,2022.0,11.0,1.0,9.465,10.32,0.8660254,-0.5,-0.85599527,0.51698365,10.05
17.0,0.0,2022.0,11.0,1.0,3.28142857,0.99,0.79335334,-0.60876143,-0.85580981,0.5172906,9.99
18.0,0.0,2022.0,11.0,1.0,0.97333333,0.975,0.70710678,-0.70710678,-0.85562424,0.51759748,9.57
19.0,0.0,2022.0,11.0,1.0,0.03,0.03,0.60876143,-0.79335334,-0.85543856,0.5179043,0.47
20.0,0.0,2022.0,11.0,1.0,0.03,0.03,0.5,-0.8660254,-0.85525277,0.51821105,9.76
21.0,0.0,2022.0,11.0,1.0,0.03,0.03,0.38268343,-0.92387953,-0.85506687,0.51851774,9.85
22.0,0.0,2022.0,11.0,1.0,0.47833333,0.475,0.25881905,-0.96592583,-0.85488086,0.51882436,10.05
23.0,0.0,2022.0,11.0,1.0,6.28833333,7.705,0.13052619,-0.99144486,-0.85469474,0.51913091,9.875
24.0,0.0,2022.0,11.0,1.0,5.915,7.165,0.0,-1.0,-0.85450851,0.51943739,9.76
25.0,0.0,2022.0,11.0,1.0,30.79571429,10.71,-0.13052619,-0.99144486,-0.85432217,0.51974381,0.49
26.0,0.0,2022.0,11.0,1.0,20.97714286,10.34,-0.25881905,-0.96592583,-0.85413572,0.52005016,0.47
27.0,0.0,2022.0,11.0,1.0,29.22428571,10.17,-0.38268343,-0.92387953,-0.85394916,0.52035645,0.5
28.0,0.0,2022.0,11.0,1.0,10.04571429,10.05,-0.5,-0.8660254,-0.85376249,0.52066267,7.97
29.0,0.0,2022.0,11.0,1.0,9.98428571,9.99,-0.60876143,-0.79335334,-0.85357571,0.52096882,0.5
30.0,0.0,2022.0,11.0,1.0,9.63857143,9.57,-0.70710678,-0.70710678,-0.85338882,0.5212749,9.23
31.0,0.0,2022.0,11.0,1.0,3.05428571,0.47,-0.79335334,-0.60876143,-0.85320182,0.52158092,9.17
32.0,0.0,2022.0,11.0,1.0,8.45,9.76,-0.8660254,-0.5,-0.85301471,0.52188687,0.47
33.0,0.0,2022.0,11.0,1.0,9.87,9.85,-0.92387953,-0.38268343,-0.85282749,0.52219275,0.46
34.0,0.0,2022.0,11.0,1.0,23.70857143,10.05,-0.96592583,-0.25881905,-0.85264016,0.52249856,9.2
