TradingPeriod,IsProxyPriceFlag,Year,Month,Day,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate,Avg$PerMWHr
8,0.0,2022.0,11.0,1.0,27.19285714,25.19,0.8660254,0.5,-0.85747499,0.51452564,0.03
9,0.0,2022.0,11.0,1.0,27.19285714,25.19,0.92387953,0.38268343,-0.85729041,0.51483312,0.03
10,0.0,2022.0,11.0,1.0,19.01428571,10.83,0.96592583,0.25881905,-0.85710573,0.51514054,0.465
11,0.0,2022.0,11.0,1.0,10.56666667,10.58,0.99144486,0.13052619,-0.85692093,0.51544789,6.12833333
12,0.0,2022.0,11.0,1.0,9.315,10.15,1.0,0.0,-0.85673602,0.51575517,5.745
13,0.0,2022.0,11.0,1.0,3.20714286,0.97,0.99144486,-0.13052619,-0.856551,0.51606239,29.84571429
14,0.0,2022.0,11.0,1.0,0.94666667,0.95,0.96592583,-0.25881905,-0.85636587,0.51636954,20.34857143
15,0.0,2022.0,11.0,1.0,0.03,0.03,0.92387953,-0.38268343,-0.85618063,0.51667663,27.92142857
16,0.0,2022.0,11.0,1.0,0.03,0.03,0.8660254,-0.5,-0.85599527,0.51698365,9.58142857
17,0.0,2022.0,11.0,1.0,0.03,0.03,0.79335334,-0.60876143,-0.85580981,0.5172906,9.46
18,0.0,2022.0,11.0,1.0,0.465,0.46,0.70710678,-0.70710678,-0.85562424,0.51759748,9.14142857
19,0.0,2022.0,11.0,1.0,6.12833333,7.515,0.60876143,-0.79335334,-0.85543856,0.5179043,2.89428571
20,0.0,2022.0,11.0,1.0,5.745,6.97,0.5,-0.8660254,-0.85525277,0.51821105,8.00857143
21,0.0,2022.0,11.0,1.0,29.84571429,10.39,0.38268343,-0.92387953,-0.85506687,0.51851774,9.41428571
22,0.0,2022.0,11.0,1.0,20.34857143,9.95,0.25881905,-0.96592583,-0.85488086,0.51882436,22.76
