@relation relation: PoC: WIL0331; Target: Med$PerMWHr; Delay: 24hr

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute PrevAvg$PerMWHr numeric
@attribute PrevMed$PerMWHr numeric
@attribute SinPeriod numeric
@attribute CosPeriod numeric
@attribute SinDate numeric
@attribute CosDate numeric
@attribute Med$PerMWHr numeric

@data
48.0,0.0,2022.0,11.0,1.0,27.19285714,25.19,-0.0,1.0,-0.85000606,0.52677291,9.245
1.0,0.0,2022.0,11.0,2.0,27.19285714,25.19,0.13052619,0.99144486,-0.84981709,0.52707771,0.03
2.0,0.0,2022.0,11.0,2.0,19.01428571,10.83,0.25881905,0.96592583,-0.84962801,0.52738244,0.01
3.0,0.0,2022.0,11.0,2.0,10.56666667,10.58,0.38268343,0.92387953,-0.84943882,0.52768711,0.01
4.0,0.0,2022.0,11.0,2.0,9.315,10.15,0.5,0.8660254,-0.84924952,0.52799171,0.01
5.0,0.0,2022.0,11.0,2.0,3.20714286,0.97,0.60876143,0.79335334,-0.84906012,0.52829624,0.01
6.0,0.0,2022.0,11.0,2.0,0.94666667,0.95,0.70710678,0.70710678,-0.8488706,0.52860071,0.01
7.0,0.0,2022.0,11.0,2.0,0.03,0.03,0.79335334,0.60876143,-0.84868097,0.5289051,0.01
8.0,0.0,2022.0,11.0,2.0,0.03,0.03,0.8660254,0.5,-0.84849124,0.52920943,0.01
9.0,0.0,2022.0,11.0,2.0,0.03,0.03,0.92387953,0.38268343,-0.84830139,0.52951369,0.01
10.0,0.0,2022.0,11.0,2.0,0.465,0.46,0.96592583,0.25881905,-0.84811144,0.52981788,0.01
11.0,0.0,2022.0,11.0,2.0,6.12833333,7.515,0.99144486,0.13052619,-0.84792138,0.53012201,0.01
12.0,0.0,2022.0,11.0,2.0,5.745,6.97,1.0,0.0,-0.8477312,0.53042606,0.01
