TradingPeriod,IsProxyPriceFlag,Med$PerMWHr,Year,Month,Day,Avg$PerMWHr,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate
1,0.0,24.62,2022.0,11.0,1.0,26.66142857,26.66142857,24.62,0.13052619,0.99144486,-0.85876396,0.51237141
2,0.0,10.66,2022.0,11.0,1.0,18.85857143,26.66142857,24.62,0.25881905,0.96592583,-0.85858015,0.51267936
3,0.0,10.47,2022.0,11.0,1.0,10.46333333,18.85857143,10.66,0.38268343,0.92387953,-0.85839623,0.51298724
4,0.0,10.275,2022.0,11.0,1.0,9.40333333,10.46333333,10.47,0.5,0.8660254,-0.85821221,0.51329505
5,0.0,0.97,2022.0,11.0,1.0,3.21142857,9.40333333,10.275,0.60876143,0.79335334,-0.85802807,0.5136028
6,0.0,0.95,2022.0,11.0,1.0,0.95,3.21142857,0.97,0.70710678,0.70710678,-0.85784382,0.51391048
7,0.0,0.03,2022.0,11.0,1.0,0.03,0.95,0.95,0.79335334,0.60876143,-0.85765946,0.51421809
8,0.0,0.03,2022.0,11.0,1.0,0.03,0.03,0.03,0.8660254,0.5,-0.85747499,0.51452564
9,0.0,0.03,2022.0,11.0,1.0,0.03,0.03,0.03,0.92387953,0.38268343,-0.85729041,0.51483312
10,0.0,0.485,2022.0,11.0,1.0,0.48666667,0.03,0.03,0.96592583,0.25881905,-0.85710573,0.51514054
11,0.0,7.965,2022.0,11.0,1.0,6.52833333,0.48666667,0.485,0.99144486,0.13052619,-0.85692093,0.51544789
12,0.0,7.515,2022.0,11.0,1.0,6.19333333,6.52833333,7.965,1.0,0.0,-0.85673602,0.51575517
13,0.0,11.24,2022.0,11.0,1.0,32.28142857,6.19333333,7.515,0.99144486,-0.13052619,-0.856551,0.51606239
14,0.0,10.82,2022.0,11.0,1.0,22.11857143,32.28142857,11.24,0.96592583,-0.25881905,-0.85636587,0.51636954
15,0.0,10.98,2022.0,11.0,1.0,31.58857143,22.11857143,10.82,0.92387953,-0.38268343,-0.85618063,0.51667663
16,0.0,10.98,2022.0,11.0,1.0,10.97571429,31.58857143,10.98,0.8660254,-0.5,-0.85599527,0.51698365
17,0.0,10.97,2022.0,11.0,1.0,10.98857143,10.97571429,10.98,0.79335334,-0.60876143,-0.85580981,0.5172906
18,0.0,10.65,2022.0,11.0,1.0,10.73571429,10.98857143,10.97,0.70710678,-0.70710678,-0.85562424,0.51759748
19,0.0,0.53,2022.0,11.0,1.0,3.41714286,10.73571429,10.65,0.60876143,-0.79335334,-0.85543856,0.5179043
20,0.0,10.92,2022.0,11.0,1.0,9.44428571,3.41714286,0.53,0.5,-0.8660254,-0.85525277,0.51821105
21,0.0,10.91,2022.0,11.0,1.0,10.96285714,9.44428571,10.92,0.38268343,-0.92387953,-0.85506687,0.51851774
22,0.0,10.96,2022.0,11.0,1.0,25.92857143,10.96285714,10.91,0.25881905,-0.96592583,-0.85488086,0.51882436
23,0.0,10.935,2022.0,11.0,1.0,10.905,25.92857143,10.96,0.13052619,-0.99144486,-0.85469474,0.51913091
24,0.0,10.91,2022.0,11.0,1.0,10.90571429,10.905,10.935,0.0,-1.0,-0.85450851,0.51943739
25,0.0,0.55,2022.0,11.0,1.0,1.97285714,10.90571429,10.91,-0.13052619,-0.99144486,-0.85432217,0.51974381
26,0.0,0.53,2022.0,11.0,1.0,0.52571429,1.97285714,0.55,-0.25881905,-0.96592583,-0.85413572,0.52005016
27,0.0,0.56,2022.0,11.0,1.0,2.45428571,0.52571429,0.53,-0.38268343,-0.92387953,-0.85394916,0.52035645
28,0.0,8.92,2022.0,11.0,1.0,6.99857143,2.45428571,0.56,-0.5,-0.8660254,-0.85376249,0.52066267
29,0.0,0.56,2022.0,11.0,1.0,2.56,6.99857143,8.92,-0.60876143,-0.79335334,-0.85357571,0.52096882
30,0.0,10.42,2022.0,11.0,1.0,10.42142857,2.56,0.56,-0.70710678,-0.70710678,-0.85338882,0.5212749
31,0.0,10.59,2022.0,11.0,1.0,10.14285714,10.42142857,10.42,-0.79335334,-0.60876143,-0.85320182,0.52158092
32,0.0,0.56,2022.0,11.0,1.0,4.72,10.14285714,10.59,-0.8660254,-0.5,-0.85301471,0.52188687
33,0.0,0.54,2022.0,11.0,1.0,4.65142857,4.72,0.56,-0.92387953,-0.38268343,-0.85282749,0.52219275
34,0.0,10.6,2022.0,11.0,1.0,9.06285714,4.65142857,0.54,-0.96592583,-0.25881905,-0.85264016,0.52249856
35,0.0,0.53,2022.0,11.0,1.0,1.62428571,9.06285714,10.6,-0.99144486,-0.13052619,-0.85245273,0.52280431
36,0.0,11.01,2022.0,11.0,1.0,10.47857143,1.62428571,0.53,-1.0,-0.0,-0.85226518,0.52310999
37,0.0,11.0,2022.0,11.0,1.0,9.83571429,10.47857143,11.01,-0.99144486,0.13052619,-0.85207752,0.52341561
38,0.0,0.54,2022.0,11.0,1.0,2.00142857,9.83571429,11.0,-0.96592583,0.25881905,-0.85188975,0.52372115
39,0.0,0.02,2022.0,11.0,1.0,0.02,2.00142857,0.54,-0.92387953,0.38268343,-0.85170188,0.52402663
40,0.0,0.02,2022.0,11.0,1.0,0.02,0.02,0.02,-0.8660254,0.5,-0.85151389,0.52433204
41,0.0,0.02,2022.0,11.0,1.0,0.02285714,0.02,0.02,-0.79335334,0.60876143,-0.8513258,0.52463739
42,0.0,0.54,2022.0,11.0,1.0,1.27142857,0.02285714,0.02,-0.70710678,0.70710678,-0.85113759,0.52494266
43,0.0,0.54,2022.0,11.0,1.0,2.69285714,1.27142857,0.54,-0.60876143,0.79335334,-0.85094928,0.52524787
44,0.0,0.53,2022.0,11.0,1.0,0.53,2.69285714,0.54,-0.5,0.8660254,-0.85076085,0.52555302
45,0.0,0.275,2022.0,11.0,1.0,1.13833333,0.53,0.53,-0.38268343,0.92387953,-0.85057232,0.52585809
46,0.0,0.275,2022.0,11.0,1.0,1.11,1.13833333,0.275,-0.25881905,0.96592583,-0.85038368,0.5261631
47,0.0,2.935,2022.0,11.0,1.0,3.78833333,1.11,0.275,-0.13052619,0.99144486,-0.85019492,0.52646803
48,0.0,9.905,2022.0,11.0,1.0,7.09333333,3.78833333,2.935,-0.0,1.0,-0.85000606,0.52677291
1,0.0,0.03,2022.0,11.0,2.0,0.03,7.09333333,9.905,0.13052619,0.99144486,-0.84981709,0.52707771
2,0.0,0.01,2022.0,11.0,2.0,0.01571429,0.03,0.03,0.25881905,0.96592583,-0.84962801,0.52738244
3,0.0,0.01,2022.0,11.0,2.0,0.01,0.01571429,0.01,0.38268343,0.92387953,-0.84943882,0.52768711
4,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.5,0.8660254,-0.84924952,0.52799171
5,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.60876143,0.79335334,-0.84906012,0.52829624
6,0.0,0.01,2022.0,11.0,2.0,0.01285714,0.01,0.01,0.70710678,0.70710678,-0.8488706,0.52860071
7,0.0,0.01,2022.0,11.0,2.0,0.01,0.01285714,0.01,0.79335334,0.60876143,-0.84868097,0.5289051
8,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.8660254,0.5,-0.84849124,0.52920943
9,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.92387953,0.38268343,-0.84830139,0.52951369
10,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.96592583,0.25881905,-0.84811144,0.52981788
11,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.99144486,0.13052619,-0.84792138,0.53012201
12,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,1.0,0.0,-0.8477312,0.53042606
13,0.0,0.03,2022.0,11.0,2.0,0.02142857,0.01,0.01,0.99144486,-0.13052619,-0.84754092,0.53073005
