TradingPeriod,IsProxyPriceFlag,Med$PerMWHr,Year,Month,Day,Avg$PerMWHr,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate
1,0.0,26.76,2022.0,11.0,1.0,28.83714286,28.83714286,26.76,0.13052619,0.99144486,-0.85876396,0.51237141
2,0.0,11.49,2022.0,11.0,1.0,20.14428571,28.83714286,26.76,0.25881905,0.96592583,-0.85858015,0.51267936
3,0.0,11.175,2022.0,11.0,1.0,11.16166667,20.14428571,11.49,0.38268343,0.92387953,-0.85839623,0.51298724
4,0.0,10.715,2022.0,11.0,1.0,9.83666667,11.16166667,11.175,0.5,0.8660254,-0.85821221,0.51329505
5,0.0,1.02,2022.0,11.0,1.0,3.38428571,9.83666667,10.715,0.60876143,0.79335334,-0.85802807,0.5136028
6,0.0,1.0,2022.0,11.0,1.0,0.99666667,3.38428571,1.02,0.70710678,0.70710678,-0.85784382,0.51391048
7,0.0,0.03,2022.0,11.0,1.0,0.02571429,0.99666667,1.0,0.79335334,0.60876143,-0.85765946,0.51421809
8,0.0,0.03,2022.0,11.0,1.0,0.02833333,0.02571429,0.03,0.8660254,0.5,-0.85747499,0.51452564
9,0.0,0.03,2022.0,11.0,1.0,0.03,0.02833333,0.03,0.92387953,0.38268343,-0.85729041,0.51483312
10,0.0,0.49,2022.0,11.0,1.0,0.49333333,0.03,0.03,0.96592583,0.25881905,-0.85710573,0.51514054
11,0.0,7.96,2022.0,11.0,1.0,6.495,0.49333333,0.49,0.99144486,0.13052619,-0.85692093,0.51544789
12,0.0,7.365,2022.0,11.0,1.0,6.08166667,6.495,7.96,1.0,0.0,-0.85673602,0.51575517
13,0.0,10.69,2022.0,11.0,1.0,30.71428571,6.08166667,7.365,0.99144486,-0.13052619,-0.856551,0.51606239
14,0.0,10.25,2022.0,11.0,1.0,20.96857143,30.71428571,10.69,0.96592583,-0.25881905,-0.85636587,0.51636954
15,0.0,9.92,2022.0,11.0,1.0,27.19,20.96857143,10.25,0.92387953,-0.38268343,-0.85618063,0.51667663
16,0.0,9.8,2022.0,11.0,1.0,9.78,27.19,9.92,0.8660254,-0.5,-0.85599527,0.51698365
17,0.0,9.59,2022.0,11.0,1.0,9.58285714,9.78,9.8,0.79335334,-0.60876143,-0.85580981,0.5172906
18,0.0,9.19,2022.0,11.0,1.0,9.25,9.58285714,9.59,0.70710678,-0.70710678,-0.85562424,0.51759748
19,0.0,0.46,2022.0,11.0,1.0,2.89285714,9.25,9.19,0.60876143,-0.79335334,-0.85543856,0.5179043
20,0.0,9.27,2022.0,11.0,1.0,8.02857143,2.89285714,0.46,0.5,-0.8660254,-0.85525277,0.51821105
21,0.0,9.37,2022.0,11.0,1.0,9.42428571,8.02857143,9.27,0.38268343,-0.92387953,-0.85506687,0.51851774
22,0.0,9.67,2022.0,11.0,1.0,22.85571429,9.42428571,9.37,0.25881905,-0.96592583,-0.85488086,0.51882436
23,0.0,9.485,2022.0,11.0,1.0,9.43666667,22.85571429,9.67,0.13052619,-0.99144486,-0.85469474,0.51913091
24,0.0,9.39,2022.0,11.0,1.0,9.39285714,9.43666667,9.485,0.0,-1.0,-0.85450851,0.51943739
25,0.0,0.47,2022.0,11.0,1.0,1.70428571,9.39285714,9.39,-0.13052619,-0.99144486,-0.85432217,0.51974381
26,0.0,0.46,2022.0,11.0,1.0,0.45857143,1.70428571,0.47,-0.25881905,-0.96592583,-0.85413572,0.52005016
27,0.0,0.5,2022.0,11.0,1.0,2.16571429,0.45857143,0.46,-0.38268343,-0.92387953,-0.85394916,0.52035645
28,0.0,7.92,2022.0,11.0,1.0,6.21571429,2.16571429,0.5,-0.5,-0.8660254,-0.85376249,0.52066267
29,0.0,0.49,2022.0,11.0,1.0,2.26142857,6.21571429,7.92,-0.60876143,-0.79335334,-0.85357571,0.52096882
30,0.0,9.17,2022.0,11.0,1.0,9.17,2.26142857,0.49,-0.70710678,-0.70710678,-0.85338882,0.5212749
31,0.0,9.32,2022.0,11.0,1.0,8.90285714,9.17,9.17,-0.79335334,-0.60876143,-0.85320182,0.52158092
32,0.0,0.46,2022.0,11.0,1.0,3.93142857,8.90285714,9.32,-0.8660254,-0.5,-0.85301471,0.52188687
33,0.0,0.45,2022.0,11.0,1.0,3.91571429,3.93142857,0.46,-0.92387953,-0.38268343,-0.85282749,0.52219275
34,0.0,9.13,2022.0,11.0,1.0,7.77142857,3.91571429,0.45,-0.96592583,-0.25881905,-0.85264016,0.52249856
35,0.0,0.44,2022.0,11.0,1.0,1.37142857,7.77142857,9.13,-0.99144486,-0.13052619,-0.85245273,0.52280431
36,0.0,9.56,2022.0,11.0,1.0,9.08142857,1.37142857,0.44,-1.0,-0.0,-0.85226518,0.52310999
37,0.0,9.55,2022.0,11.0,1.0,8.51428571,9.08142857,9.56,-0.99144486,0.13052619,-0.85207752,0.52341561
38,0.0,0.46,2022.0,11.0,1.0,1.72428571,8.51428571,9.55,-0.96592583,0.25881905,-0.85188975,0.52372115
39,0.0,0.02,2022.0,11.0,1.0,0.02,1.72428571,0.46,-0.92387953,0.38268343,-0.85170188,0.52402663
40,0.0,0.02,2022.0,11.0,1.0,0.01833333,0.02,0.02,-0.8660254,0.5,-0.85151389,0.52433204
41,0.0,0.01,2022.0,11.0,1.0,0.01142857,0.01833333,0.02,-0.79335334,0.60876143,-0.8513258,0.52463739
42,0.0,0.45,2022.0,11.0,1.0,1.05571429,0.01142857,0.01,-0.70710678,0.70710678,-0.85113759,0.52494266
43,0.0,0.45,2022.0,11.0,1.0,2.25,1.05571429,0.45,-0.60876143,0.79335334,-0.85094928,0.52524787
44,0.0,0.455,2022.0,11.0,1.0,0.45166667,2.25,0.45,-0.5,0.8660254,-0.85076085,0.52555302
45,0.0,0.25,2022.0,11.0,1.0,1.01833333,0.45166667,0.455,-0.38268343,0.92387953,-0.85057232,0.52585809
46,0.0,0.25,2022.0,11.0,1.0,1.01333333,1.01833333,0.25,-0.25881905,0.96592583,-0.85038368,0.5261631
47,0.0,2.865,2022.0,11.0,1.0,6.34666667,1.01333333,0.25,-0.13052619,0.99144486,-0.85019492,0.52646803
48,0.0,10.115,2022.0,11.0,1.0,7.23833333,6.34666667,2.865,-0.0,1.0,-0.85000606,0.52677291
1,0.0,0.03,2022.0,11.0,2.0,0.026,7.23833333,10.115,0.13052619,0.99144486,-0.84981709,0.52707771
2,0.0,0.01,2022.0,11.0,2.0,0.01285714,0.026,0.03,0.25881905,0.96592583,-0.84962801,0.52738244
3,0.0,0.01,2022.0,11.0,2.0,0.01,0.01285714,0.01,0.38268343,0.92387953,-0.84943882,0.52768711
4,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.5,0.8660254,-0.84924952,0.52799171
5,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.60876143,0.79335334,-0.84906012,0.52829624
6,0.0,0.01,2022.0,11.0,2.0,0.01285714,0.01,0.01,0.70710678,0.70710678,-0.8488706,0.52860071
7,0.0,0.01,2022.0,11.0,2.0,0.01,0.01285714,0.01,0.79335334,0.60876143,-0.84868097,0.5289051
8,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.8660254,0.5,-0.84849124,0.52920943
9,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.92387953,0.38268343,-0.84830139,0.52951369
10,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.96592583,0.25881905,-0.84811144,0.52981788
11,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.99144486,0.13052619,-0.84792138,0.53012201
12,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,1.0,0.0,-0.8477312,0.53042606
13,0.0,0.02,2022.0,11.0,2.0,0.02,0.01,0.01,0.99144486,-0.13052619,-0.84754092,0.53073005
