TradingPeriod,IsProxyPriceFlag,Med$PerMWHr,Year,Month,Day,Avg$PerMWHr,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate
1,0.0,27.14,2022.0,11.0,1.0,29.25,29.25,27.14,0.13052619,0.99144486,-0.85876396,0.51237141
2,0.0,11.66,2022.0,11.0,1.0,20.43428571,29.25,27.14,0.25881905,0.96592583,-0.85858015,0.51267936
3,0.0,11.335,2022.0,11.0,1.0,11.32166667,20.43428571,11.66,0.38268343,0.92387953,-0.85839623,0.51298724
4,0.0,10.865,2022.0,11.0,1.0,9.975,11.32166667,11.335,0.5,0.8660254,-0.85821221,0.51329505
5,0.0,1.04,2022.0,11.0,1.0,3.43285714,9.975,10.865,0.60876143,0.79335334,-0.85802807,0.5136028
6,0.0,1.02,2022.0,11.0,1.0,1.015,3.43285714,1.04,0.70710678,0.70710678,-0.85784382,0.51391048
7,0.0,0.03,2022.0,11.0,1.0,0.02571429,1.015,1.02,0.79335334,0.60876143,-0.85765946,0.51421809
8,0.0,0.03,2022.0,11.0,1.0,0.02833333,0.02571429,0.03,0.8660254,0.5,-0.85747499,0.51452564
9,0.0,0.03,2022.0,11.0,1.0,0.03,0.02833333,0.03,0.92387953,0.38268343,-0.85729041,0.51483312
10,0.0,0.495,2022.0,11.0,1.0,0.50166667,0.03,0.03,0.96592583,0.25881905,-0.85710573,0.51514054
11,0.0,8.13,2022.0,11.0,1.0,6.62,0.50166667,0.495,0.99144486,0.13052619,-0.85692093,0.51544789
12,0.0,7.61,2022.0,11.0,1.0,6.24,6.62,8.13,1.0,0.0,-0.85673602,0.51575517
13,0.0,11.09,2022.0,11.0,1.0,31.83428571,6.24,7.61,0.99144486,-0.13052619,-0.856551,0.51606239
14,0.0,10.63,2022.0,11.0,1.0,21.73428571,31.83428571,11.09,0.96592583,-0.25881905,-0.85636587,0.51636954
15,0.0,10.26,2022.0,11.0,1.0,28.59285714,21.73428571,10.63,0.92387953,-0.38268343,-0.85618063,0.51667663
16,0.0,10.33,2022.0,11.0,1.0,10.31428571,28.59285714,10.26,0.8660254,-0.5,-0.85599527,0.51698365
17,0.0,10.13,2022.0,11.0,1.0,10.11285714,10.31428571,10.33,0.79335334,-0.60876143,-0.85580981,0.5172906
18,0.0,9.69,2022.0,11.0,1.0,9.75571429,10.11285714,10.13,0.70710678,-0.70710678,-0.85562424,0.51759748
19,0.0,0.48,2022.0,11.0,1.0,3.05,9.75571429,9.69,0.60876143,-0.79335334,-0.85543856,0.5179043
20,0.0,9.78,2022.0,11.0,1.0,8.46571429,3.05,0.48,0.5,-0.8660254,-0.85525277,0.51821105
21,0.0,9.79,2022.0,11.0,1.0,9.87142857,8.46571429,9.78,0.38268343,-0.92387953,-0.85506687,0.51851774
22,0.0,10.01,2022.0,11.0,1.0,23.63857143,9.87142857,9.79,0.25881905,-0.96592583,-0.85488086,0.51882436
23,0.0,9.815,2022.0,11.0,1.0,9.76833333,23.63857143,10.01,0.13052619,-0.99144486,-0.85469474,0.51913091
24,0.0,9.72,2022.0,11.0,1.0,9.72142857,9.76833333,9.815,0.0,-1.0,-0.85450851,0.51943739
25,0.0,0.5,2022.0,11.0,1.0,1.77714286,9.72142857,9.72,-0.13052619,-0.99144486,-0.85432217,0.51974381
26,0.0,0.48,2022.0,11.0,1.0,0.48571429,1.77714286,0.5,-0.25881905,-0.96592583,-0.85413572,0.52005016
27,0.0,0.52,2022.0,11.0,1.0,2.28714286,0.48571429,0.48,-0.38268343,-0.92387953,-0.85394916,0.52035645
28,0.0,8.34,2022.0,11.0,1.0,6.48428571,2.28714286,0.52,-0.5,-0.8660254,-0.85376249,0.52066267
