TradingPeriod,IsProxyPriceFlag,Med$PerMWHr,Year,Month,Day,Avg$PerMWHr,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate
1,0.0,25.28,2022.0,11.0,1.0,27.29,27.29,25.28,0.13052619,0.99144486,-0.85876396,0.51237141
2,0.0,10.89,2022.0,11.0,1.0,19.13285714,27.29,25.28,0.25881905,0.96592583,-0.85858015,0.51267936
3,0.0,10.645,2022.0,11.0,1.0,10.63833333,19.13285714,10.89,0.38268343,0.92387953,-0.85839623,0.51298724
4,0.0,10.32,2022.0,11.0,1.0,9.465,10.63833333,10.645,0.5,0.8660254,-0.85821221,0.51329505
5,0.0,0.99,2022.0,11.0,1.0,3.28142857,9.465,10.32,0.60876143,0.79335334,-0.85802807,0.5136028
6,0.0,0.975,2022.0,11.0,1.0,0.97333333,3.28142857,0.99,0.70710678,0.70710678,-0.85784382,0.51391048
7,0.0,0.03,2022.0,11.0,1.0,0.03,0.97333333,0.975,0.79335334,0.60876143,-0.85765946,0.51421809
8,0.0,0.03,2022.0,11.0,1.0,0.03,0.03,0.03,0.8660254,0.5,-0.85747499,0.51452564
9,0.0,0.03,2022.0,11.0,1.0,0.03,0.03,0.03,0.92387953,0.38268343,-0.85729041,0.51483312
10,0.0,0.475,2022.0,11.0,1.0,0.47833333,0.03,0.03,0.96592583,0.25881905,-0.85710573,0.51514054
11,0.0,7.705,2022.0,11.0,1.0,6.28833333,0.47833333,0.475,0.99144486,0.13052619,-0.85692093,0.51544789
12,0.0,7.165,2022.0,11.0,1.0,5.915,6.28833333,7.705,1.0,0.0,-0.85673602,0.51575517
13,0.0,10.71,2022.0,11.0,1.0,30.79571429,5.915,7.165,0.99144486,-0.13052619,-0.856551,0.51606239
14,0.0,10.34,2022.0,11.0,1.0,20.97714286,30.79571429,10.71,0.96592583,-0.25881905,-0.85636587,0.51636954
15,0.0,10.17,2022.0,11.0,1.0,29.22428571,20.97714286,10.34,0.92387953,-0.38268343,-0.85618063,0.51667663
16,0.0,10.05,2022.0,11.0,1.0,10.04571429,29.22428571,10.17,0.8660254,-0.5,-0.85599527,0.51698365
17,0.0,9.99,2022.0,11.0,1.0,9.98428571,10.04571429,10.05,0.79335334,-0.60876143,-0.85580981,0.5172906
18,0.0,9.57,2022.0,11.0,1.0,9.63857143,9.98428571,9.99,0.70710678,-0.70710678,-0.85562424,0.51759748
19,0.0,0.47,2022.0,11.0,1.0,3.05428571,9.63857143,9.57,0.60876143,-0.79335334,-0.85543856,0.5179043
20,0.0,9.76,2022.0,11.0,1.0,8.45,3.05428571,0.47,0.5,-0.8660254,-0.85525277,0.51821105
21,0.0,9.85,2022.0,11.0,1.0,9.87,8.45,9.76,0.38268343,-0.92387953,-0.85506687,0.51851774
22,0.0,10.05,2022.0,11.0,1.0,23.70857143,9.87,9.85,0.25881905,-0.96592583,-0.85488086,0.51882436
23,0.0,9.875,2022.0,11.0,1.0,9.83166667,23.70857143,10.05,0.13052619,-0.99144486,-0.85469474,0.51913091
24,0.0,9.76,2022.0,11.0,1.0,9.76,9.83166667,9.875,0.0,-1.0,-0.85450851,0.51943739
25,0.0,0.49,2022.0,11.0,1.0,1.76428571,9.76,9.76,-0.13052619,-0.99144486,-0.85432217,0.51974381
26,0.0,0.47,2022.0,11.0,1.0,0.47142857,1.76428571,0.49,-0.25881905,-0.96592583,-0.85413572,0.52005016
27,0.0,0.5,2022.0,11.0,1.0,2.18,0.47142857,0.47,-0.38268343,-0.92387953,-0.85394916,0.52035645
28,0.0,7.97,2022.0,11.0,1.0,6.25285714,2.18,0.5,-0.5,-0.8660254,-0.85376249,0.52066267
29,0.0,0.5,2022.0,11.0,1.0,2.27,6.25285714,7.97,-0.60876143,-0.79335334,-0.85357571,0.52096882
30,0.0,9.23,2022.0,11.0,1.0,9.17285714,2.27,0.5,-0.70710678,-0.70710678,-0.85338882,0.5212749
31,0.0,9.17,2022.0,11.0,1.0,8.84,9.17285714,9.23,-0.79335334,-0.60876143,-0.85320182,0.52158092
32,0.0,0.47,2022.0,11.0,1.0,4.01428571,8.84,9.17,-0.8660254,-0.5,-0.85301471,0.52188687
33,0.0,0.46,2022.0,11.0,1.0,3.95428571,4.01428571,0.47,-0.92387953,-0.38268343,-0.85282749,0.52219275
34,0.0,9.2,2022.0,11.0,1.0,7.83857143,3.95428571,0.46,-0.96592583,-0.25881905,-0.85264016,0.52249856
35,0.0,0.45,2022.0,11.0,1.0,1.39714286,7.83857143,9.2,-0.99144486,-0.13052619,-0.85245273,0.52280431
36,0.0,9.68,2022.0,11.0,1.0,9.19857143,1.39714286,0.45,-1.0,-0.0,-0.85226518,0.52310999
37,0.0,9.51,2022.0,11.0,1.0,8.55571429,9.19857143,9.68,-0.99144486,0.13052619,-0.85207752,0.52341561
38,0.0,0.46,2022.0,11.0,1.0,1.73285714,8.55571429,9.51,-0.96592583,0.25881905,-0.85188975,0.52372115
39,0.0,0.02,2022.0,11.0,1.0,0.02,1.73285714,0.46,-0.92387953,0.38268343,-0.85170188,0.52402663
40,0.0,0.02,2022.0,11.0,1.0,0.02,0.02,0.02,-0.8660254,0.5,-0.85151389,0.52433204
41,0.0,0.02,2022.0,11.0,1.0,0.02142857,0.02,0.02,-0.79335334,0.60876143,-0.8513258,0.52463739
42,0.0,0.47,2022.0,11.0,1.0,1.1,0.02142857,0.02,-0.70710678,0.70710678,-0.85113759,0.52494266
43,0.0,0.46,2022.0,11.0,1.0,2.34,1.1,0.47,-0.60876143,0.79335334,-0.85094928,0.52524787
44,0.0,0.465,2022.0,11.0,1.0,0.46333333,2.34,0.46,-0.5,0.8660254,-0.85076085,0.52555302
45,0.0,0.25,2022.0,11.0,1.0,1.02,0.46333333,0.465,-0.38268343,0.92387953,-0.85057232,0.52585809
46,0.0,0.245,2022.0,11.0,1.0,0.99666667,1.02,0.25,-0.25881905,0.96592583,-0.85038368,0.5261631
47,0.0,2.76,2022.0,11.0,1.0,3.54333333,0.99666667,0.245,-0.13052619,0.99144486,-0.85019492,0.52646803
48,0.0,9.315,2022.0,11.0,1.0,6.65666667,3.54333333,2.76,-0.0,1.0,-0.85000606,0.52677291
1,0.0,0.03,2022.0,11.0,2.0,0.03,6.65666667,9.315,0.13052619,0.99144486,-0.84981709,0.52707771
2,0.0,0.01,2022.0,11.0,2.0,0.01571429,0.03,0.03,0.25881905,0.96592583,-0.84962801,0.52738244
3,0.0,0.01,2022.0,11.0,2.0,0.01,0.01571429,0.01,0.38268343,0.92387953,-0.84943882,0.52768711
4,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.5,0.8660254,-0.84924952,0.52799171
5,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.60876143,0.79335334,-0.84906012,0.52829624
6,0.0,0.01,2022.0,11.0,2.0,0.01285714,0.01,0.01,0.70710678,0.70710678,-0.8488706,0.52860071
7,0.0,0.01,2022.0,11.0,2.0,0.01,0.01285714,0.01,0.79335334,0.60876143,-0.84868097,0.5289051
8,0.0,0.01,2022.0,11.0,2.0,0.01,0.01,0.01,0.8660254,0.5,-0.84849124,0.52920943
