TradingPeriod,IsProxyPriceFlag,Med$PerMWHr,Year,Month,Day,Avg$PerMWHr,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate
1,0.0,25.19,2022.0,11.0,1.0,27.19285714,27.19285714,25.19,0.13052619,0.99144486,-0.85876396,0.51237141
2,0.0,10.83,2022.0,11.0,1.0,19.01428571,27.19285714,25.19,0.25881905,0.96592583,-0.85858015,0.51267936
3,0.0,10.58,2022.0,11.0,1.0,10.56666667,19.01428571,10.83,0.38268343,0.92387953,-0.85839623,0.51298724
4,0.0,10.15,2022.0,11.0,1.0,9.315,10.56666667,10.58,0.5,0.8660254,-0.85821221,0.51329505
5,0.0,0.97,2022.0,11.0,1.0,3.20714286,9.315,10.15,0.60876143,0.79335334,-0.85802807,0.5136028
6,0.0,0.95,2022.0,11.0,1.0,0.94666667,3.20714286,0.97,0.70710678,0.70710678,-0.85784382,0.51391048
7,0.0,0.03,2022.0,11.0,1.0,0.03,0.94666667,0.95,0.79335334,0.60876143,-0.85765946,0.51421809
8,0.0,0.03,2022.0,11.0,1.0,0.03,0.03,0.03,0.8660254,0.5,-0.85747499,0.51452564
9,0.0,0.03,2022.0,11.0,1.0,0.03,0.03,0.03,0.92387953,0.38268343,-0.85729041,0.51483312
10,0.0,0.46,2022.0,11.0,1.0,0.465,0.03,0.03,0.96592583,0.25881905,-0.85710573,0.51514054
11,0.0,7.515,2022.0,11.0,1.0,6.12833333,0.465,0.46,0.99144486,0.13052619,-0.85692093,0.51544789
12,0.0,6.97,2022.0,11.0,1.0,5.745,6.12833333,7.515,1.0,0.0,-0.85673602,0.51575517
13,0.0,10.39,2022.0,11.0,1.0,29.84571429,5.745,6.97,0.99144486,-0.13052619,-0.856551,0.51606239
14,0.0,9.95,2022.0,11.0,1.0,20.34857143,29.84571429,10.39,0.96592583,-0.25881905,-0.85636587,0.51636954
15,0.0,9.69,2022.0,11.0,1.0,27.92142857,20.34857143,9.95,0.92387953,-0.38268343,-0.85618063,0.51667663
16,0.0,9.58,2022.0,11.0,1.0,9.58142857,27.92142857,9.69,0.8660254,-0.5,-0.85599527,0.51698365
17,0.0,9.47,2022.0,11.0,1.0,9.46,9.58142857,9.58,0.79335334,-0.60876143,-0.85580981,0.5172906
18,0.0,9.07,2022.0,11.0,1.0,9.14142857,9.46,9.47,0.70710678,-0.70710678,-0.85562424,0.51759748
19,0.0,0.45,2022.0,11.0,1.0,2.89428571,9.14142857,9.07,0.60876143,-0.79335334,-0.85543856,0.5179043
20,0.0,9.24,2022.0,11.0,1.0,8.00857143,2.89428571,0.45,0.5,-0.8660254,-0.85525277,0.51821105
